Tasks,Method,Runs,Incumbents,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_Completed_Tasks,Mean_Response_Time,Mean_End_to_End_sec,Incumbent Rate
20,Greedy-Benefit,30,30,0.6680650626249728,0.054923451561748535,0.6680650626249728,17.566666666666666,35.55466312840926,0.0012925056003344555,1.0
20,Greedy-Density-Operational,30,30,0.6611211494942969,0.05225272724825548,0.6611211494942969,17.733333333333334,33.39197956083018,0.0010372666336479596,1.0
20,HiGHS-1800s,30,30,0.7580963933435333,0.05589074142545459,0.7580963933435333,18.6,33.306168300653596,33.795106111035665,1.0
30,Greedy-Benefit,30,30,0.5256541627900554,0.049964833647008794,0.5256541627900554,21.4,39.9461058399182,0.0017228473006980494,1.0
30,Greedy-Density-Operational,30,30,0.5207653347376742,0.05172296728818364,0.5207653347376742,22.333333333333332,37.64683043907529,0.0014217777032172307,1.0
30,HiGHS-1800s,30,30,0.6121900207809418,0.05226924807362766,0.6121900207809418,23.333333333333332,37.7454957029015,212.07174086249725,1.0
40,Greedy-Benefit,30,30,0.4389105603300685,0.04006406491303237,0.4389105603300685,24.233333333333334,43.17030454837701,0.0021672861660287407,1.0
40,Greedy-Density-Operational,30,30,0.4312219714093901,0.04267834240785852,0.4312219714093901,25.6,40.9201489130837,0.0018668529024580493,1.0
40,HiGHS-1800s,30,29,0.49319892685289546,0.09994864476734196,0.4767589626244656,25.03448275862069,39.813296927267885,671.5660522041037,0.9666666666666667
50,Greedy-Benefit,30,30,0.3737443916289017,0.03261855434363877,0.3737443916289017,26.333333333333332,45.02751759691989,0.0029569612020471443,1.0
50,Greedy-Density-Operational,30,30,0.3703727999027742,0.03430588235151985,0.3703727999027742,27.3,41.583016773910494,0.00242757633580671,1.0
50,HiGHS-1800s,30,29,0.34603772580804315,0.18089942268519096,0.33450313494777506,22.655172413793103,42.17217054143095,1240.5379697152957,0.9666666666666667
60,Greedy-Benefit,30,30,0.32800830756575483,0.029694737481175626,0.32800830756575483,27.3,45.707006474847,0.004408522126808142,1.0
60,Greedy-Density-Operational,30,30,0.32758847844973266,0.03310003819728138,0.32758847844973266,28.966666666666665,42.51921504973521,0.0031955778074916454,1.0
60,HiGHS-1800s,30,27,0.1817136998072195,0.1843230223414228,0.16354232982649755,13.296296296296296,41.04209615373741,1678.3197063847765,0.9
