Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,Has Incumbent,MIP Nodes,Time Limit sec,Solver Status Code
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,Greedy-Benefit,0.30392232440870875,0.4795258620689655,0.4572396274343776,26.0,0.43333333333333335,31.0,8.0,2500.0,0.5961538461538461,0.25806451612903225,0.42735042735042733,47.19230769230769,96.0,114.0,590.3303270240707,304.28188342795545,286.04844359611536,0.0005148343401919046,0.008588099997723475,,,,0.008590099998400547,False,,,,,,,Constructive heuristic,True,,,
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,Greedy-Density-Operational,0.30980792450922084,0.4385775862068965,0.41828958509737507,26.0,0.43333333333333335,26.0,12.0,1900.0,0.5,0.3870967741935484,0.3247863247863248,41.23076923076923,104.0,139.0,591.6500311502682,298.0908182191292,293.559212931139,0.0005236337500175595,0.005423499998869374,,,,0.0054244999919319525,False,,,,,,,Constructive heuristic,True,,,
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.6506326000089757,1.6506326000089757,3.4685526999965077,0.7676091999892378,5.886794499994721,False,,,,272619.0,76513.0,741412.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,HiGHS-5s,,,,,,,,,,,,,,,,,,,5.964755299995886,5.964755299995886,3.4685526999965077,0.7676091999892378,10.200917199981632,False,,,,272619.0,76513.0,741412.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,5.0,1.0
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,HiGHS-15s,,,,,,,,,,,,,,,,,,,15.810962599993218,15.810962599993218,3.4685526999965077,0.7676091999892378,20.047124499978963,False,,,,272619.0,76513.0,741412.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,15.0,1.0
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,HiGHS-60s,,,,,,,,,,,,,,,,,,,61.42223840000224,61.42223840000224,3.4685526999965077,0.7676091999892378,65.65840029998799,False,,,,272619.0,76513.0,741412.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,60.0,1.0
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,HiGHS-600s,0.36052595474835325,0.4714439655172414,0.4487722269263336,24.0,0.4,28.0,13.0,2000.0,0.5384615384615384,0.41935483870967744,0.3418803418803419,40.208333333333336,83.0,108.0,501.9098499647614,256.0986671843935,245.811182780368,0.0007183081877625343,495.89753029998974,495.89753029998974,3.4685526999965077,0.7676091999892378,500.1336921999755,True,0.0,0.3605259547483532,0.3605259547483532,272619.0,76513.0,741412.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,1,60,HiGHS-1800s,0.36052595474835325,0.4714439655172414,0.4487722269263336,24.0,0.4,28.0,13.0,2000.0,0.5384615384615384,0.41935483870967744,0.3418803418803419,40.208333333333336,83.0,108.0,501.9098499647614,256.0986671843935,245.811182780368,0.0007183081877625343,343.84303910000017,343.84303910000017,3.4685526999965077,0.7676091999892378,348.0792009999859,True,0.0,0.3605259547483532,0.3605259547483532,272619.0,76513.0,741412.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,1800.0,0.0
