policy,seed,benefit,completed_tasks,completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps
MaskablePPO,0,0.7169797950133666,6,1.0,12.666666666666666,56.0,27.737680478028192,0,0,15
MaskablePPO,1,0.6273964267498275,6,1.0,17.833333333333332,63.0,27.990438890997545,2,0,14
MaskablePPO,2,0.7250617148109167,6,1.0,10.166666666666666,55.0,32.940855015809234,0,0,16
MaskablePPO,3,0.882859515119133,6,1.0,13.5,47.0,31.378089667022664,0,0,14
MaskablePPO,4,0.8922981189687849,6,1.0,11.666666666666666,56.0,32.10558940399114,0,0,15
MaskablePPO,5,0.3400951277948375,6,1.0,17.666666666666668,79.0,29.208141250039212,1,0,15
MaskablePPO,6,0.7429113900413894,6,1.0,11.5,51.0,28.346196993228084,0,0,14
MaskablePPO,7,0.9750408239700907,6,1.0,17.5,46.0,30.284684864240205,0,0,15
MaskablePPO,8,0.9530494618957693,6,1.0,16.166666666666668,50.0,30.88103279012952,1,0,16
MaskablePPO,9,0.6965531860127284,6,1.0,15.833333333333334,58.0,34.139639936939716,1,0,16
MaskablePPO,10,0.7267303620857106,6,1.0,12.0,55.0,29.58700402775944,0,0,14
MaskablePPO,11,0.6719753502972274,6,1.0,11.333333333333334,53.0,32.294673258195985,0,0,16
MaskablePPO,12,0.7264757310047504,6,1.0,11.666666666666666,55.0,28.72485969934961,1,0,16
MaskablePPO,13,0.8771206597251324,6,1.0,18.0,47.0,30.956181263389958,1,0,14
MaskablePPO,14,0.8457882961451011,6,1.0,11.666666666666666,47.0,31.727905131194984,0,0,14
MaskablePPO,15,0.8205021231653985,6,1.0,12.5,58.0,31.65436273045226,0,0,14
MaskablePPO,16,0.6943018608579089,6,1.0,15.0,52.0,36.96447600724089,0,0,16
MaskablePPO,17,0.69053495178544,5,0.8333333333333334,9.6,51.0,27.838852599008945,0,0,14
MaskablePPO,18,0.8143840871784397,6,1.0,17.5,52.0,30.74732427061041,1,0,16
MaskablePPO,19,0.641833844060118,6,1.0,10.833333333333334,61.0,29.523897940389915,0,0,14
MaskablePPO,20,0.5281154950267656,6,1.0,12.0,60.0,31.45264397482527,0,0,14
MaskablePPO,21,0.5762242690775691,6,1.0,18.166666666666668,55.0,31.516167881085444,2,0,16
MaskablePPO,22,0.9191688526108639,6,1.0,13.666666666666666,45.0,32.028381288206745,0,0,15
MaskablePPO,23,0.766824048239342,6,1.0,11.333333333333334,57.0,28.845709191412983,0,0,14
MaskablePPO,24,0.7791252021581627,6,1.0,11.333333333333334,52.0,31.473719506253655,0,0,16
MaskablePPO,25,0.7163905285173296,6,1.0,12.0,56.0,31.15182485495064,0,0,14
MaskablePPO,26,0.8473717507213863,6,1.0,10.666666666666666,49.0,31.541250517751113,0,0,15
MaskablePPO,27,0.674183266595499,6,1.0,11.833333333333334,60.0,32.09655057625785,0,0,15
MaskablePPO,28,0.9229741462010596,6,1.0,18.833333333333332,50.0,29.274890482457202,1,0,13
MaskablePPO,29,0.6904970598971975,6,1.0,12.666666666666666,59.0,34.40314872196313,0,0,14
MaskablePPO,30,0.8479342076991128,6,1.0,12.0,47.0,35.88343411654637,0,0,16
MaskablePPO,31,0.9526434292653962,6,1.0,15.833333333333334,47.0,27.261557978548097,0,0,12
MaskablePPO,32,0.9350612847270476,6,1.0,16.166666666666668,55.0,28.389899651313232,1,0,13
MaskablePPO,33,0.6084716891569241,6,1.0,13.333333333333334,72.0,34.02357291448995,0,0,17
MaskablePPO,34,0.6463331608145347,6,1.0,10.833333333333334,55.0,37.45067441380825,0,0,15
MaskablePPO,35,0.5147665024783414,6,1.0,12.5,62.0,37.00697770360881,0,0,16
MaskablePPO,36,0.7916559594778259,6,1.0,9.666666666666666,57.0,35.509396698377756,0,0,16
MaskablePPO,37,0.7831119628150884,6,1.0,13.5,58.0,33.23354888386128,0,0,15
MaskablePPO,38,0.8384493417950558,6,1.0,11.166666666666666,40.0,25.450904772014113,0,0,14
MaskablePPO,39,0.8592223534694154,6,1.0,19.0,62.0,30.179753128710445,2,0,15
MaskablePPO,40,0.7518450714488647,6,1.0,12.5,54.0,28.62000910379441,0,0,13
MaskablePPO,41,0.7563123826180687,6,1.0,12.0,58.0,35.920145193357726,0,0,16
MaskablePPO,42,0.7620769438495704,6,1.0,18.166666666666668,48.0,36.0930443661666,0,0,15
MaskablePPO,43,0.9158031139365657,6,1.0,14.166666666666666,50.0,35.6790397599185,0,0,16
MaskablePPO,44,0.7614534337028781,6,1.0,18.166666666666668,59.0,30.60275257560277,1,0,13
MaskablePPO,45,0.9052482416489804,6,1.0,26.0,55.0,30.25866935718513,1,0,13
MaskablePPO,46,0.6810052075513472,6,1.0,14.666666666666666,53.0,35.84587588566607,0,0,15
MaskablePPO,47,0.76375288191082,6,1.0,14.166666666666666,43.0,30.917067074613513,0,0,16
MaskablePPO,48,0.8378121141239494,6,1.0,11.833333333333334,54.0,24.854083611185224,0,0,15
MaskablePPO,49,0.9539090543811835,6,1.0,14.166666666666666,43.0,26.773916651755982,0,0,14
MaskablePPO,50,0.7827684410132529,6,1.0,11.5,61.0,26.264171715326,0,0,15
MaskablePPO,51,0.7927193087968292,6,1.0,9.833333333333334,58.0,34.43961478568096,0,0,16
MaskablePPO,52,0.868836225299187,6,1.0,11.666666666666666,46.0,27.353576981180307,0,0,14
MaskablePPO,53,0.6009406535968068,6,1.0,9.666666666666666,55.0,27.078893040733334,0,0,14
MaskablePPO,54,0.6595156086764185,6,1.0,13.5,67.0,32.30980679007567,1,0,18
MaskablePPO,55,0.8508638240419107,6,1.0,11.333333333333334,64.0,33.65591568750888,1,0,15
MaskablePPO,56,0.6029510549455186,6,1.0,12.833333333333334,75.0,32.55354787270671,1,0,17
MaskablePPO,57,0.872462094597833,6,1.0,13.0,59.0,31.640992146073604,0,0,15
MaskablePPO,58,0.7150243960614596,6,1.0,11.833333333333334,62.0,34.22734923531178,1,0,16
MaskablePPO,59,0.8028306463103237,6,1.0,11.833333333333334,58.0,36.553235098660835,0,0,16
MaskablePPO,60,0.8830137663492876,6,1.0,9.833333333333334,51.0,33.586207878001105,0,0,15
MaskablePPO,61,0.7232431758030855,6,1.0,13.166666666666666,52.0,33.03483145818391,0,0,15
MaskablePPO,62,0.7706116983314848,6,1.0,10.5,62.0,34.94823648024673,0,0,16
MaskablePPO,63,0.8270362854151418,6,1.0,15.5,46.0,32.05355674572535,0,0,14
MaskablePPO,64,0.5358457451870844,6,1.0,10.833333333333334,57.0,34.356704804789906,0,0,15
MaskablePPO,65,0.7052169142107916,6,1.0,10.666666666666666,55.0,32.78340175999909,0,0,15
MaskablePPO,66,0.815861574261587,6,1.0,12.166666666666666,62.0,35.65395506059971,0,0,15
MaskablePPO,67,0.7413552980454252,6,1.0,10.333333333333334,60.0,33.90259925045164,0,0,16
MaskablePPO,68,0.6377402614870696,6,1.0,9.666666666666666,57.0,35.38347037954969,0,0,17
MaskablePPO,69,0.8704380948107104,6,1.0,12.166666666666666,58.0,35.53297063116562,2,0,17
MaskablePPO,70,0.7365811360674558,6,1.0,15.333333333333334,52.0,32.27837831871971,0,0,16
MaskablePPO,71,0.9151641704794647,6,1.0,13.833333333333334,53.0,25.71050004966928,0,0,13
MaskablePPO,72,0.7786805537284849,6,1.0,9.833333333333334,61.0,35.781548336066635,0,0,16
MaskablePPO,73,0.8350712354709156,6,1.0,13.166666666666666,49.0,32.061475385013054,0,0,15
MaskablePPO,74,0.6360792571766566,6,1.0,15.333333333333334,68.0,33.91122100423576,0,0,15
MaskablePPO,75,0.6511145485348321,6,1.0,12.333333333333334,65.0,28.579778762509616,0,0,15
MaskablePPO,76,0.7818716068505464,6,1.0,11.333333333333334,57.0,32.58418136620304,0,0,15
MaskablePPO,77,0.7158978636305348,6,1.0,17.666666666666668,58.0,30.17566471298978,0,0,16
MaskablePPO,78,0.7845013691367542,6,1.0,12.5,52.0,30.57433505055862,0,0,15
MaskablePPO,79,0.943273485343075,6,1.0,19.0,51.0,29.2080460650315,1,0,14
MaskablePPO,80,0.780401434800565,6,1.0,10.0,61.0,35.03582903794232,0,0,16
MaskablePPO,81,0.6522933649698702,6,1.0,10.333333333333334,55.0,37.55392720499962,0,0,17
MaskablePPO,82,0.7763069797675158,6,1.0,14.0,61.0,29.44813695549293,1,0,14
MaskablePPO,83,0.7880069068041788,6,1.0,14.5,53.0,33.44768135575444,0,0,15
MaskablePPO,84,0.7822591981170941,6,1.0,10.666666666666666,56.0,30.31122378626459,0,0,14
MaskablePPO,85,0.8391111442399942,6,1.0,12.5,56.0,28.488873216371054,0,0,13
MaskablePPO,86,0.807960362359201,6,1.0,12.166666666666666,54.0,34.146424980665856,0,0,17
MaskablePPO,87,0.9559181859093114,6,1.0,16.0,46.0,29.907374827460284,1,0,14
MaskablePPO,88,0.7024877409248553,6,1.0,11.0,52.0,28.83150414291909,0,0,14
MaskablePPO,89,0.7614889413927086,6,1.0,12.5,59.0,33.322149385545686,0,0,15
MaskablePPO,90,0.8582980858273985,6,1.0,11.666666666666666,54.0,34.59775649258641,1,0,17
MaskablePPO,91,0.8921039741279203,6,1.0,11.0,53.0,26.95076855123105,1,0,14
MaskablePPO,92,0.47550379860719466,6,1.0,15.333333333333334,78.0,31.190797218834067,1,0,17
MaskablePPO,93,0.7781399190799936,6,1.0,18.333333333333332,52.0,31.72903900348918,1,0,15
