policy,episodes,benefit_mean,benefit_sd,completed_mean,response_time_mean,failures_mean
Rolling-horizon matching,30,0.5300673261818936,0.021587496436409788,24.466666666666665,22.281319583797845,1.2333333333333334
Greedy online,30,0.5271853796427105,0.029468774499014295,24.666666666666668,23.448948785514002,1.3333333333333333
Random feasible,30,0.4801251765027771,0.03540438548309403,24.466666666666665,25.00211830681396,1.4
