tasks,ppo_seed,status,timesteps,elapsed_seconds,model,history
20,218,trained,10000,8.104395292000845,/Users/educarrascovidal/Documentos/GitHub/Tesis_Doctoral/DISC_TESIS/Resuelto_Paper/TTAP_MDP_experiment_A_update/models/experiment_a_scaling/diagnostic_v2/ppo_T20_seed218_steps10000_gamma1.0_obsV2_priorityV1.zip,/Users/educarrascovidal/Documentos/GitHub/Tesis_Doctoral/DISC_TESIS/Resuelto_Paper/TTAP_MDP_experiment_A_update/results/experiment_a_scaling/diagnostic_v2/training_T20_seed218_obsV2.csv
60,218,trained,10000,12.211076791980304,/Users/educarrascovidal/Documentos/GitHub/Tesis_Doctoral/DISC_TESIS/Resuelto_Paper/TTAP_MDP_experiment_A_update/models/experiment_a_scaling/diagnostic_v2/ppo_T60_seed218_steps10000_gamma1.0_obsV2_priorityV1.zip,/Users/educarrascovidal/Documentos/GitHub/Tesis_Doctoral/DISC_TESIS/Resuelto_Paper/TTAP_MDP_experiment_A_update/results/experiment_a_scaling/diagnostic_v2/training_T60_seed218_obsV2.csv
