Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
4helos_4areas_T20_S1,Greedy,1,1,D1,4.47213595499958,6.0,10.47213595499958,11.0,0.05,450,1,2,Task Executed
4helos_4areas_T20_S1,Greedy,2,4,D1,4.969039949999533,6.0,10.969039949999534,11.0,0.05,600,2,4,Task Executed
4helos_4areas_T20_S1,Greedy,3,16,D1,4.626347539654738,6.0,10.626347539654738,11.0,0.05,328,4,2,Task Executed
4helos_4areas_T20_S1,Greedy,4,7,D2,9.375,6.0,15.375,16.0,0.05,300,2,3,Task Executed
4helos_4areas_T20_S1,Greedy,1,8,D2,5.656854249492381,6.0,11.65685424949238,23.0,0.05,278,1,1,Task Executed
4helos_4areas_T20_S1,Greedy,2,15,D3,9.162456945817024,6.0,15.162456945817024,27.0,0.05,140,2,2,Task Executed
4helos_4areas_T20_S1,Greedy,3,17,D1,0.0,6.0,6.0,17.0,0.05,178,2,0,Task Executed
4helos_4areas_T20_S1,Greedy,4,12,D4,7.583905656058756,6.0,13.583905656058757,30.0,0.04290744675497561,70,2,0,Task Executed
4helos_4areas_T20_S1,Greedy,3,13,D2,5.851918189130049,6.0,11.85191818913005,29.0,0.04087872380968218,28,1,0,Task Executed
4helos_4areas_T20_S1,Greedy,1,20,D4,8.089499366462674,6.0,14.089499366462674,38.0,0.03655292893150024,150,1,0,Task Executed
4helos_4areas_T20_S1,Greedy,2,Idle,Base,14.05456737852613,2.0,16.05456737852613,44.0,0.0,800,2,6,Idle
4helos_4areas_T20_S1,Greedy,3,Idle,Base,10.344827586206897,2.0,12.344827586206897,42.0,0.0,500,5,3,Idle
4helos_4areas_T20_S1,Greedy,4,Idle,Base,16.448784149595983,2.0,18.448784149595983,49.0,0.0,700,3,5,Idle
4helos_4areas_T20_S1,Greedy,1,Idle,Base,17.54536975956905,2.0,19.54536975956905,58.0,0.0,650,4,4,Idle
4helos_4areas_T20_S1,Greedy,3,19,D4,18.150382509899014,6.0,24.150382509899014,67.0,0.008399080743303776,100,5,0,Task Executed
4helos_4areas_T20_S1,Greedy,1,6,D2,10.0,6.0,16.0,74.0,0.0003029900745792055,550,0,4,Task Executed
4helos_4areas_T20_S1,Greedy,3,14,D3,5.299137299944427,6.0,11.299137299944427,79.0,0.00024834008250284787,0,1,0,Task Executed
4helos_4areas_T20_S1,Greedy,1,Idle,Base,10.0,2.0,12.0,86.0,0.0,650,4,4,Idle
4helos_4areas_T20_S1,Greedy,3,Idle,Base,13.08528686966226,2.0,15.08528686966226,95.0,0.0,500,5,3,Idle
4helos_4areas_T20_S1,Greedy,1,18,D4,17.54536975956905,6.0,23.54536975956905,110.0,1.1240838511664765e-05,535,1,4,Task Executed
4helos_4areas_T20_S1,Greedy,1,Idle,Base,17.54536975956905,2.0,19.54536975956905,130.0,0.0,650,4,4,Idle
4helos_4areas_T20_S1,Exact-HiGHS,3,1,D1,4.626347539654738,6.0,10.626347539654738,11.0,0.05,300,2,1,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,1,3,D2,10.0,6.0,16.0,16.0,0.03929174915212793,550,1,3,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,4,7,D2,9.375,6.0,15.375,16.0,0.05,300,2,3,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,3,16,D1,0.0,6.0,6.0,17.0,0.05,128,1,0,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,1,8,D2,0.0,6.0,6.0,22.0,0.05,378,1,2,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,3,Idle,Base,4.626347539654738,2.0,6.626347539654738,24.0,0.0,500,5,3,Idle
4helos_4areas_T20_S1,Exact-HiGHS,2,12,D4,19.494855288410054,6.0,25.494855288410054,26.0,0.05,570,2,3,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,1,9,D2,0.0,6.0,6.0,28.0,0.03340938860840831,148,0,1,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,4,4,D1,5.303300858899107,6.0,11.303300858899107,28.0,0.05,100,2,1,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,2,19,D4,0.0,6.0,6.0,32.0,0.043494576281850106,170,2,0,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,3,17,D1,4.626347539654738,6.0,10.626347539654738,35.0,0.03655292893150024,350,3,1,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,4,Idle,Base,4.192627457812106,2.0,6.192627457812106,35.0,0.0,700,3,5,Idle
4helos_4areas_T20_S1,Exact-HiGHS,1,20,D4,8.089499366462674,6.0,14.089499366462674,43.0,0.03112296656009273,20,0,0,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,3,13,D2,5.851918189130049,6.0,11.85191818913005,47.0,0.02127787415941705,200,2,1,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,4,15,D3,11.858541225631424,6.0,17.858541225631424,53.0,0.025,240,3,3,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,3,5,D4,8.368447620478628,6.0,14.368447620478628,62.0,0.01070825084787207,28,0,0,Task Executed
4helos_4areas_T20_S1,Exact-HiGHS,1,Idle,Base,17.54536975956905,2.0,19.54536975956905,63.0,0.0,650,4,4,Idle
