Tasks,Budget sec,Runs,Incumbents,Certified,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_MIP_Gap,Mean_Solver_sec,Mean_End_to_End_sec,Incumbent Rate,Certification Rate
20,1.0,30,2,2,0.55291476309562,0.14857941323795792,0.036860984206374674,0.0,1.7445541512663718,1.9055172984333089,0.06666666666666667,0.06666666666666667
20,5.0,30,27,22,0.5578796424008216,0.0624692999957634,0.5020916781607394,0.00829990230810379,3.6783123959002597,3.8392755430671968,0.9,0.7333333333333333
20,15.0,30,30,29,0.5623961338348104,0.05610836615201809,0.5623961338348104,0.005816561358458762,3.9626648138333014,4.123627961000238,1.0,0.9666666666666667
20,60.0,30,30,30,0.5658663321457461,0.06137612934641344,0.5658663321457461,0.0,4.4449747708336265,4.6059379180005635,1.0,1.0
20,600.0,30,30,30,0.5658663321457461,0.06137612934641344,0.5658663321457461,0.0,4.602640111099997,4.763603258266934,1.0,1.0
30,1.0,30,0,0,,,0.0,,1.5900837319334338,1.8087906402002167,0.0,0.0
30,5.0,30,14,12,0.35735156045219413,0.15682712703177026,0.16676406154435727,0.0,5.0172264112001965,5.235933319466979,0.4666666666666667,0.4
30,15.0,30,30,28,0.4094083863628369,0.10619111368760274,0.4094083863628369,0.0710660786670684,7.006993098567061,7.2257000068338435,1.0,0.9333333333333333
30,60.0,30,30,30,0.4355658723834565,0.050629120659049585,0.4355658723834565,0.0,7.642817291733203,7.861524199999986,1.0,1.0
30,600.0,30,30,30,0.4355658723834565,0.050629120659049585,0.4355658723834565,0.0,7.842198586133358,8.06090549440014,1.0,1.0
40,1.0,30,0,0,,,0.0,,1.4165025860329479,1.80748629566624,0.0,0.0
40,5.0,30,5,3,0.2853562359555818,0.16288361480042854,0.047559372659263625,0.018799464607765926,5.841996190332793,6.232979899966085,0.16666666666666666,0.1
40,15.0,30,29,16,0.26801321249774385,0.1373869543122087,0.2590794387478191,8.418593640956283,12.582381486000425,12.973365195633717,0.9666666666666667,0.5333333333333333
40,60.0,30,30,29,0.3514656804377144,0.05836543847696648,0.3514656804377144,11.044644071787353,16.850125238966697,17.24110894859999,1.0,0.9666666666666667
40,600.0,30,30,30,0.3595035922499032,0.037097366987685405,0.3595035922499032,0.0,18.782460376399467,19.17344408603276,1.0,1.0
50,1.0,30,0,0,,,0.0,,1.3821024695661133,1.9601618791661166,0.0,0.0
50,5.0,30,2,0,0.0,0.0,0.0,,5.907009509766188,6.485068919366191,0.06666666666666667,0.0
50,15.0,30,22,7,0.15447687685690298,0.14856368987668947,0.11328304302839552,75.1383531455778,14.993517934699776,15.57157734429978,0.7333333333333333,0.23333333333333334
50,60.0,30,30,25,0.2576745296486532,0.11021697096589617,0.2576745296486532,36.96222823182237,28.77817767216705,29.356237081767055,1.0,0.8333333333333334
50,600.0,30,30,30,0.3048596495902267,0.03618554908662362,0.3048596495902267,0.0,36.14946006793313,36.727519477533136,1.0,1.0
60,1.0,30,0,0,,,0.0,,1.3860548138004865,2.3325635694323865,0.0,0.0
60,5.0,30,0,0,,,0.0,,6.071599993132744,7.018108748764644,0.0,0.0
60,15.0,30,10,2,0.061858236413028386,0.12158243137659115,0.02061941213767613,100.43546805088057,16.834823298599563,17.781332054231463,0.3333333333333333,0.06666666666666667
60,60.0,30,29,19,0.17682408137071245,0.12320937146820042,0.17092994532502204,471.58482122420446,41.39518445973396,42.34169321536586,0.9666666666666667,0.6333333333333333
60,600.0,30,30,30,0.26935602157006966,0.02831646276273697,0.26935602157006966,0.0,76.85739803336644,77.80390678899833,1.0,1.0
