Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,Has Incumbent,MIP Nodes,Time Limit sec,Solver Status Code
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,HiGHS-5s,0.4895958408403565,0.6635687732342009,0.6615853658536586,12.0,0.6,9.0,10.0,450.0,0.6428571428571429,0.7142857142857143,0.5625,37.5,68.0,84.0,210.38409363403886,105.35970342541177,105.02439020862707,0.0023271523639615257,1.7155921249941457,1.7155921249941457,0.020126207993598655,0.006975374999456108,1.7426937079872005,True,0.0,0.4895958408403565,0.4895958408403565,5576.0,2586.0,14166.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,5.0,0.0
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,HiGHS-15s,0.4895958408403565,0.6635687732342009,0.6615853658536586,12.0,0.6,9.0,10.0,450.0,0.6428571428571429,0.7142857142857143,0.5625,37.5,68.0,84.0,210.38409363403886,105.35970342541177,105.02439020862707,0.0023271523639615257,1.7169169589906232,1.7169169589906232,0.020126207993598655,0.006975374999456108,1.744018541983678,True,0.0,0.4895958408403565,0.4895958408403565,5576.0,2586.0,14166.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,HiGHS-60s,0.4895958408403565,0.6635687732342009,0.6615853658536586,12.0,0.6,9.0,10.0,450.0,0.6428571428571429,0.7142857142857143,0.5625,37.5,68.0,84.0,210.38409363403886,105.35970342541177,105.02439020862707,0.0023271523639615257,1.6471533340081805,1.6471533340081805,0.020126207993598655,0.006975374999456108,1.6742549170012353,True,0.0,0.4895958408403565,0.4895958408403565,5576.0,2586.0,14166.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,HiGHS-600s,0.4895958408403565,0.6635687732342009,0.6615853658536586,12.0,0.6,9.0,10.0,450.0,0.6428571428571429,0.7142857142857143,0.5625,37.5,68.0,84.0,210.38409363403886,105.35970342541177,105.02439020862707,0.0023271523639615257,1.6265942079917295,1.6265942079917295,0.020126207993598655,0.006975374999456108,1.6536957909847843,True,0.0,0.4895958408403565,0.4895958408403565,5576.0,2586.0,14166.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,Greedy-Benefit,0.4808597526744022,0.7448979591836735,0.7107438016528926,12.0,0.6,15.0,6.0,800.0,0.8333333333333334,0.6666666666666666,0.5161290322580645,44.833333333333336,87.0,107.0,283.2820732777394,147.42500333856452,135.85706993917495,0.0016974591689144793,0.0011107919999631122,,,,0.0011112920037703589,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,Greedy-Density-Operational,0.49890349341298806,0.7908163265306122,0.7713498622589531,14.0,0.7,15.0,7.0,1000.0,0.8333333333333334,0.7777777777777778,0.6451612903225806,43.214285714285715,87.0,107.0,286.6216282950312,156.79314925513663,129.82847903989463,0.0017406344956614598,0.0009413329971721396,,,,0.0009417499968549237,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.7241182080033468,1.7241182080033468,0.03529254099703394,0.00891420801053755,1.7683249570109183,False,,,,8917.0,3876.0,22899.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,HiGHS-5s,0.5314324057024237,0.7142857142857142,0.6887052341597796,13.0,0.65,15.0,4.0,1000.0,0.8333333333333334,0.4444444444444444,0.6451612903225806,37.84615384615385,75.0,100.0,234.487675362034,117.31293957628054,117.17473578575344,0.002266355384699541,2.3786732080043294,2.3786732080043294,0.03529254099703394,0.00891420801053755,2.422879957011901,True,0.0,0.5314324057024236,0.5314324057024236,8917.0,3876.0,22899.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,5.0,0.0
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,HiGHS-15s,0.5314324057024237,0.7142857142857142,0.6887052341597796,13.0,0.65,15.0,4.0,1000.0,0.8333333333333334,0.4444444444444444,0.6451612903225806,37.84615384615385,75.0,100.0,234.487675362034,117.31293957628054,117.17473578575344,0.002266355384699541,2.305218833993422,2.305218833993422,0.03529254099703394,0.00891420801053755,2.3494255830009934,True,0.0,0.5314324057024236,0.5314324057024236,8917.0,3876.0,22899.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,HiGHS-60s,0.5314324057024237,0.7142857142857142,0.6887052341597796,13.0,0.65,15.0,4.0,1000.0,0.8333333333333334,0.4444444444444444,0.6451612903225806,37.84615384615385,75.0,100.0,234.487675362034,117.31293957628054,117.17473578575344,0.002266355384699541,2.533626792006544,2.533626792006544,0.03529254099703394,0.00891420801053755,2.5778335410141153,True,0.0,0.5314324057024236,0.5314324057024236,8917.0,3876.0,22899.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,3,20,HiGHS-600s,0.5314324057024237,0.7142857142857142,0.6887052341597796,13.0,0.65,15.0,4.0,1000.0,0.8333333333333334,0.4444444444444444,0.6451612903225806,37.84615384615385,75.0,100.0,234.487675362034,117.31293957628054,117.17473578575344,0.002266355384699541,3.1495496249990538,3.1495496249990538,0.03529254099703394,0.00891420801053755,3.1937563740066253,True,0.0,0.5314324057024236,0.5314324057024236,8917.0,3876.0,22899.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,Greedy-Benefit,0.616615091190854,0.8970840480274442,0.8622589531680441,16.0,0.8,20.0,2.0,1550.0,1.0,0.5,0.7560975609756098,41.6875,79.0,91.0,224.6104212532938,113.24917792391682,111.36124332937698,0.0027452648356662643,0.0012774159986292943,,,,0.0012778329983120784,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,Greedy-Density-Operational,0.5839602324083769,0.8970840480274441,0.8622589531680441,16.0,0.8,20.0,2.0,1550.0,1.0,0.5,0.7560975609756098,40.875,87.0,102.0,226.5891009879078,118.00113816070557,108.5879628272022,0.002577177056894456,0.0010373749973950908,,,,0.0010377500002505258,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,2.3809150410088478,2.3809150410088478,0.06933941700845025,0.017167957994388416,2.4674224160116864,False,,,,18714.0,7093.0,49073.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,HiGHS-5s,0.6759747124650279,0.8284734133790738,0.8071625344352619,15.0,0.75,18.0,2.0,1550.0,0.9,0.5,0.7560975609756098,33.13333333333333,68.0,86.0,188.99019406462784,94.53218804957895,94.4580060150489,0.0035767713547818726,5.276117291999981,5.276117291999981,0.06933941700845025,0.017167957994388416,5.3626246670028195,False,0.0013309963164537832,0.6759747124650278,0.6768744323173347,18714.0,7093.0,49073.0,Time limit reached. (HiGHS Status 13: Time limit reached),True,0.0,5.0,1.0
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,HiGHS-15s,0.6766667296780762,0.8970840480274442,0.8622589531680441,16.0,0.8,20.0,2.0,1550.0,1.0,0.5,0.7560975609756098,36.625,68.0,86.0,205.17532918854042,103.44220771036056,101.73312147817988,0.003297992660005781,5.663256667001406,5.663256667001406,0.06933941700845025,0.017167957994388416,5.749764042004244,True,0.0,0.6766667296780763,0.6766667296780763,18714.0,7093.0,49073.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,HiGHS-60s,0.6766667296780762,0.8970840480274442,0.8622589531680441,16.0,0.8,20.0,2.0,1550.0,1.0,0.5,0.7560975609756098,36.625,68.0,86.0,205.17532918854042,103.44220771036056,101.73312147817988,0.003297992660005781,5.967865957994945,5.967865957994945,0.06933941700845025,0.017167957994388416,6.054373332997784,True,0.0,0.6766667296780763,0.6766667296780763,18714.0,7093.0,49073.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,4,20,HiGHS-600s,0.6766667296780762,0.8970840480274442,0.8622589531680441,16.0,0.8,20.0,2.0,1550.0,1.0,0.5,0.7560975609756098,36.625,68.0,86.0,205.17532918854042,103.44220771036056,101.73312147817988,0.003297992660005781,5.552366874995641,5.552366874995641,0.06933941700845025,0.017167957994388416,5.63887424999848,True,0.0,0.6766667296780763,0.6766667296780763,18714.0,7093.0,49073.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,Greedy-Benefit,0.3893496930383553,0.6309523809523809,0.6277173913043477,12.0,0.6,10.0,8.0,850.0,0.6666666666666666,0.5714285714285714,0.6538461538461539,43.75,77.0,90.0,242.93513570248754,136.05100109882622,106.88413460366132,0.0016026899193172927,0.00113795799552463,,,,0.0011384579993318766,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,Greedy-Density-Operational,0.44620731213478576,0.6037414965986394,0.5706521739130433,12.0,0.6,11.0,7.0,500.0,0.7333333333333333,0.5,0.38461538461538464,38.833333333333336,71.0,79.0,213.40726245423716,107.10394931465075,106.30331313958638,0.0020908721990212024,0.0009222499938914552,,,,0.0009227089904015884,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,2.5825406670046505,2.5825406670046505,0.028608874999918044,0.0077232500043464825,2.618872792008915,False,,,,7123.0,3005.0,18388.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,HiGHS-5s,0.5040429085609498,0.7397959183673469,0.720108695652174,14.0,0.7,12.0,10.0,750.0,0.8,0.7142857142857143,0.5769230769230769,42.642857142857146,76.0,98.0,225.03748988416606,112.81146526779348,112.22602461637256,0.002239817502498791,3.830530708000879,3.830530708000879,0.028608874999918044,0.0077232500043464825,3.8668628330051433,True,0.0,0.5040429085609498,0.5040429085609498,7123.0,3005.0,18388.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,5.0,0.0
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,HiGHS-15s,0.5040429085609498,0.7397959183673469,0.720108695652174,14.0,0.7,12.0,10.0,750.0,0.8,0.7142857142857143,0.5769230769230769,42.642857142857146,76.0,98.0,225.03748988416606,112.81146526779348,112.22602461637256,0.002239817502498791,3.2090294579975307,3.2090294579975307,0.028608874999918044,0.0077232500043464825,3.2453615830017952,True,0.0,0.5040429085609498,0.5040429085609498,7123.0,3005.0,18388.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,HiGHS-60s,0.5040429085609498,0.7397959183673469,0.720108695652174,14.0,0.7,12.0,10.0,750.0,0.8,0.7142857142857143,0.5769230769230769,42.642857142857146,76.0,98.0,225.03748988416606,112.81146526779348,112.22602461637256,0.002239817502498791,3.089763292009593,3.089763292009593,0.028608874999918044,0.0077232500043464825,3.1260954170138575,True,0.0,0.5040429085609498,0.5040429085609498,7123.0,3005.0,18388.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,5,20,HiGHS-600s,0.5040429085609498,0.7397959183673469,0.720108695652174,14.0,0.7,12.0,10.0,750.0,0.8,0.7142857142857143,0.5769230769230769,42.642857142857146,76.0,98.0,225.03748988416606,112.81146526779348,112.22602461637256,0.002239817502498791,3.4054688749893103,3.4054688749893103,0.028608874999918044,0.0077232500043464825,3.441800999993575,True,0.0,0.5040429085609498,0.5040429085609498,7123.0,3005.0,18388.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,Greedy-Benefit,0.4511808320437851,0.7110694183864915,0.7195467422096316,14.0,0.7,8.0,9.0,1400.0,0.6153846153846154,0.9,0.6829268292682927,43.0,92.0,104.0,223.37802813706531,113.57714742979894,109.80088070726637,0.002019808464630816,0.00116787500155624,,,,0.0011682090116664767,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,Greedy-Density-Operational,0.414073694316237,0.6923076923076923,0.705382436260623,15.0,0.75,9.0,6.0,1650.0,0.6923076923076923,0.6,0.8048780487804879,46.13333333333333,93.0,105.0,239.72327351971768,120.87009915937475,118.85317436034293,0.0017272986816700493,0.0009286249987781048,,,,0.0009290000016335398,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.3889999999955762,1.3889999999955762,0.01673175000178162,0.053141875003348105,1.458873625000706,False,,,,4470.0,2223.0,11211.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
