Execution ID,Run ID,Run Correlative,Run Total,Scenario,Tasks,Seed,Started At,Finished At,Elapsed sec,Elapsed HH:MM:SS,Status,Methods Requested,HiGHS Budgets sec,HiGHS Incumbents,HiGHS Certified,RSS GB,Swap GB,Error
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,20,1,2026-07-31T12:46:48-04:00,2026-07-31T12:47:07-04:00,18.204185707960278,00:00:18,COMPLETED,8,"1,5,15,60,600",4,4,0.3487091064453125,3.75714111328125,
20260731_124647-0400,20260731_124647-0400-0002,2,150,A4x4_T20_S2,20,2,2026-07-31T12:47:07-04:00,2026-07-31T12:47:11-04:00,4.0994321659673005,00:00:04,COMPLETED,8,"1,5,15,60,600",5,5,0.3707122802734375,3.75714111328125,
20260731_124647-0400,20260731_124647-0400-0003,3,150,A4x4_T20_S3,20,3,2026-07-31T12:47:11-04:00,2026-07-31T12:47:20-04:00,9.064590665977448,00:00:09,COMPLETED,8,"1,5,15,60,600",4,4,0.4827728271484375,3.75714111328125,
20260731_124647-0400,20260731_124647-0400-0004,4,150,A4x4_T20_S4,20,4,2026-07-31T12:47:20-04:00,2026-07-31T12:47:32-04:00,11.984844291000627,00:00:12,COMPLETED,8,"1,5,15,60,600",4,4,0.4621734619140625,3.75714111328125,
20260731_124647-0400,20260731_124647-0400-0005,5,150,A4x4_T20_S5,20,5,2026-07-31T12:47:32-04:00,2026-07-31T12:47:47-04:00,15.119978750008158,00:00:15,COMPLETED,8,"1,5,15,60,600",4,4,0.439239501953125,3.74932861328125,
20260731_124647-0400,20260731_124647-0400-0006,6,150,A4x4_T20_S6,20,6,2026-07-31T12:47:47-04:00,2026-07-31T12:47:51-04:00,3.67404295806773,00:00:04,COMPLETED,8,"1,5,15,60,600",5,5,0.391357421875,3.74932861328125,
20260731_124647-0400,20260731_124647-0400-0007,7,150,A4x4_T20_S7,20,7,2026-07-31T12:47:51-04:00,2026-07-31T12:48:49-04:00,58.49870037497021,00:00:58,COMPLETED,8,"1,5,15,60,600",3,2,0.39715576171875,3.74151611328125,
20260731_124647-0400,20260731_124647-0400-0008,8,150,A4x4_T20_S8,20,8,2026-07-31T12:48:49-04:00,2026-07-31T12:48:57-04:00,7.621929083019495,00:00:08,COMPLETED,8,"1,5,15,60,600",4,4,0.455230712890625,3.74151611328125,
20260731_124647-0400,20260731_124647-0400-0009,9,150,A4x4_T20_S9,20,9,2026-07-31T12:48:57-04:00,2026-07-31T12:49:06-04:00,9.802350833080709,00:00:10,COMPLETED,8,"1,5,15,60,600",4,4,0.3903350830078125,3.75189208984375,
20260731_124647-0400,20260731_124647-0400-0010,10,150,A4x4_T20_S10,20,10,2026-07-31T12:49:06-04:00,2026-07-31T12:49:13-04:00,6.0941138750640675,00:00:06,COMPLETED,8,"1,5,15,60,600",4,4,0.2825164794921875,3.75189208984375,
20260731_124647-0400,20260731_124647-0400-0011,11,150,A4x4_T20_S11,20,11,2026-07-31T12:49:13-04:00,2026-07-31T12:49:13-04:00,0.7843666250118986,00:00:01,COMPLETED,8,"1,5,15,60,600",5,5,0.2757110595703125,3.75189208984375,
20260731_124647-0400,20260731_124647-0400-0012,12,150,A4x4_T20_S12,20,12,2026-07-31T12:49:13-04:00,2026-07-31T12:49:29-04:00,15.854225374991074,00:00:16,COMPLETED,8,"1,5,15,60,600",4,4,0.3958282470703125,3.75189208984375,
20260731_124647-0400,20260731_124647-0400-0013,13,150,A4x4_T20_S13,20,13,2026-07-31T12:49:29-04:00,2026-07-31T12:49:46-04:00,16.87569416698534,00:00:17,COMPLETED,8,"1,5,15,60,600",4,4,0.422149658203125,3.75189208984375,
20260731_124647-0400,20260731_124647-0400-0014,14,150,A4x4_T20_S14,20,14,2026-07-31T12:49:46-04:00,2026-07-31T12:50:09-04:00,23.185191083000973,00:00:23,COMPLETED,8,"1,5,15,60,600",4,4,0.655517578125,3.75189208984375,
