Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,1,Idle,return,D,Base,82.0,17.88854381999832,2.0,19.88854381999832,19.88854381999832,102.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,6,personnel,Base,A,0.0,4.47213595499958,6.0,10.47213595499958,16.94427190999916,11.0,0.07086614173228346,0.0067671143725412325,3.0,1.0,200,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,3,5,personnel,Base,B,0.0,10.714285714285714,6.0,16.714285714285715,29.42857142857143,17.0,0.07086614173228346,0.00423985463355542,3.0,1.0,0,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,2,1,medical,Base,C,0.0,15.811388300841896,6.0,21.811388300841898,39.622776601683796,22.0,0.09448818897637795,0.004332057532198939,3.0,1.0,100,0,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,7,cargo,A,B,11.0,5.656854249492381,6.0,11.65685424949238,23.65685424949238,23.0,0.014173228346456691,0.001215870769515188,150.0,0.3,50,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,4,9,medical,Base,D,0.0,16.770509831248425,6.0,22.770509831248425,41.54101966249685,23.0,0.09358708906024057,0.004110012896233406,3.0,1.0,0,0,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,3,Idle,return,B,Base,17.0,10.714285714285714,2.0,12.714285714285714,12.714285714285714,30.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,Idle,return,B,Base,23.0,10.0,2.0,12.0,12.0,35.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,2,16,cargo,C,D,22.0,7.0710678118654755,6.0,13.071067811865476,37.431747586863374,36.0,0.008161761673072077,0.0006244143011532007,100.0,0.2,0,0,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,4,Idle,return,D,Base,23.0,16.770509831248425,2.0,18.770509831248425,18.770509831248425,42.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,3,12,medical,Base,B,30.0,10.714285714285714,6.0,16.714285714285715,29.42857142857143,47.0,0.04540702232732753,0.0027166594554811343,2.0,0.6666666666666666,400,1,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,3,medical,Base,C,35.0,12.649110640673518,6.0,18.64911064067352,33.29822128134704,54.0,0.033562113673256774,0.0017996629608737558,2.0,0.6666666666666666,200,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,3,2,personnel,B,C,47.0,4.79157423749955,6.0,10.79157423749955,26.34419278107832,58.0,0.01670284094974775,0.001547766857935072,2.0,0.6666666666666666,250,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,4,8,medical,Base,B,42.0,9.375,6.0,15.375,26.75,58.0,0.017803311043955647,0.0011579389296881722,2.0,0.6666666666666666,300,1,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,2,Idle,return,D,Base,36.0,22.360679774997898,2.0,24.360679774997898,24.360679774997898,61.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,10,personnel,C,B,54.0,4.47213595499958,6.0,10.47213595499958,22.47213595499958,65.0,0.0032740433663056845,0.0003126433213219123,1.0,0.3333333333333333,0,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,3,15,cargo,C,D,58.0,6.0609152673132645,6.0,12.060915267313264,33.22721221731146,71.0,0.00023181169956915942,1.9220075295396605e-05,100.0,0.2,150,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,4,13,personnel,B,D,58.0,7.7308230480331135,6.0,13.730823048033113,32.501332879281534,72.0,0.0015494282058940096,0.00011284306850898928,2.0,0.6666666666666666,200,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,Idle,return,B,Base,65.0,10.0,2.0,12.0,12.0,77.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,2,4,medical,Base,C,61.0,15.811388300841896,6.0,21.811388300841898,39.622776601683796,83.0,7.820066938539553e-05,3.5853137043265176e-06,1.0,0.3333333333333333,450,2,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,4,Idle,return,D,Base,72.0,16.770509831248425,2.0,18.770509831248425,18.770509831248425,91.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,18,medical,Base,B,77.0,10.0,6.0,16.0,28.0,93.0,6.292972451050927e-05,3.933107781906829e-06,2.0,0.6666666666666666,100,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,3,Idle,return,D,Base,71.0,19.1662969499982,2.0,21.1662969499982,21.1662969499982,93.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,2,Idle,return,C,Base,83.0,15.811388300841896,2.0,17.811388300841898,17.811388300841898,101.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Density-Operational,1,Idle,return,B,Base,93.0,10.0,2.0,12.0,12.0,105.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-15s,3,6,personnel,Base,A,0.0,4.79157423749955,6.0,10.79157423749955,,11.0,0.07086614173228346,,3.0,1.0,200,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-15s,1,5,personnel,Base,B,0.0,10.0,6.0,16.0,,16.0,0.07086614173228346,,3.0,1.0,0,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-15s,3,Idle,return,A,Base,11.0,4.79157423749955,2.0,6.79157423749955,,18.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-15s,4,1,medical,Base,C,0.0,11.858541225631424,6.0,17.858541225631424,,18.0,0.09448818897637795,,3.0,1.0,100,0,0,Task Executed
