Tasks,Method,Runs,Incumbents,Certified,Mean_Primal,Mean_Dual,Mean_Gap,Mean_Solver_sec,Mean_End_to_End_sec,Certification Rate
20,HiGHS-15s,30,30,29,0.5623961338348104,0.5658719953649686,0.00580978954406448,2.8128596985673844,2.89899862340341,0.9666666666666667
20,HiGHS-1s,30,5,5,0.5198612696411014,0.5198612696411014,0.0,1.9765961943233075,2.0627351191593335,0.16666666666666666
20,HiGHS-5s,30,29,28,0.561158874036284,0.5611600355972548,2.1026206632715246e-06,2.444242944420936,2.530381869256962,0.9333333333333333
20,HiGHS-600s,30,30,30,0.5658663321457461,0.5658663321457461,0.0,2.8436634568381125,2.929802381674138,1.0
20,HiGHS-60s,30,30,30,0.5658663321457461,0.5658663321457461,0.0,2.8321605943958277,2.9182995192318533,1.0
30,HiGHS-15s,30,29,28,0.4326830945175407,0.4334491688472327,0.0018886345721315799,4.45982830413462,4.653724790399428,0.9333333333333333
30,HiGHS-1s,30,1,1,0.34236107982777575,0.34236107982777575,0.0,3.0729663721712615,3.2668628584360704,0.03333333333333333
30,HiGHS-5s,30,27,22,0.4032898110128193,0.9406841485974016,1.983908342665916,3.6643922916574714,3.8582887779222803,0.7333333333333333
30,HiGHS-600s,30,30,30,0.4355658723834565,0.4355658723834565,0.0,4.525590612432764,4.719487098697573,1.0
30,HiGHS-60s,30,30,30,0.4355658723834565,0.4355658723834565,0.0,4.5205661930299055,4.714462679294714,1.0
40,HiGHS-15s,30,28,24,0.34425099899152356,1.2519684625614236,12.302566050785044,9.089133027812931,9.466722168175814,0.8
40,HiGHS-1s,30,0,0,,,,4.786947518071004,5.164536658433887,0.0
40,HiGHS-5s,30,10,5,0.31727137296208796,3.375324352263605,21.126078122958816,5.292209966736846,5.6697991070997285,0.16666666666666666
40,HiGHS-600s,30,30,30,0.3595035922499032,0.3595035922499032,0.0,11.200196282134858,11.577785422497739,1.0
40,HiGHS-60s,30,30,30,0.3595035922499032,0.3595035922499032,0.0,11.214229061066483,11.591818201429366,1.0
50,HiGHS-15s,30,21,16,0.2525939017734181,4.763868592761462,15.776630608882344,12.00525389306713,12.60966730263317,0.5333333333333333
50,HiGHS-1s,30,0,0,,,,6.84084770004265,7.445261109608691,0.0
50,HiGHS-5s,30,4,2,0.12746146610297032,4.083312003429288,29.896976092699855,7.165647908397174,7.770061317963215,0.06666666666666667
50,HiGHS-600s,30,30,30,0.3048596486760937,0.3048596486760937,0.0,25.106534751535705,25.710948161101744,1.0
50,HiGHS-60s,30,30,27,0.298114653110314,0.3048860964441325,0.0299399248794217,22.465843444294297,23.070256853860336,0.9
60,HiGHS-15s,30,10,5,0.20840309068514207,3.599870652140957,10.58123970343399,17.835909965067792,18.80644452731358,0.16666666666666666
60,HiGHS-1s,30,0,0,,,,12.943778286140878,13.914312848386665,0.0
60,HiGHS-5s,30,0,0,,,,12.987116412438143,13.95765097468393,0.0
60,HiGHS-600s,30,30,30,0.2693560113254569,0.2693560113254569,0.0,62.74370449298294,63.71423905522873,1.0
60,HiGHS-60s,30,23,21,0.2565695814834345,0.2649801557529803,0.05374903554755963,35.5340135999606,36.50454816220638,0.7
