Tasks,Budget sec,Runs,Incumbents,Certified,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_MIP_Gap,Mean_Solver_sec,Mean_End_to_End_sec,Incumbent Rate,Certification Rate
20,1.0,30,2,2,0.55291476309562,0.14857941323795792,0.036860984206374674,0.0,1.6266731639683711,1.7331890474029934,0.06666666666666667,0.06666666666666667
20,5.0,30,26,22,0.5610638589666302,0.057899909715936594,0.48625534443774626,0.0013443945263128124,3.615234822202183,3.721750705636805,0.8666666666666667,0.7333333333333333
20,15.0,30,30,29,0.5424535782350745,0.11661418064840895,0.5424535782350745,0.0,4.0316187000304735,4.138134583465095,1.0,0.9666666666666667
20,60.0,30,30,30,0.5658663321457461,0.06137612934641344,0.5658663321457461,0.0,4.26731304720015,4.373828930634772,1.0,1.0
20,600.0,30,30,30,0.5658663321457461,0.06137612934641344,0.5658663321457461,0.0,4.168812762499631,4.275328645934254,1.0,1.0
30,1.0,30,0,0,,,0.0,,1.7851110373982617,2.0360394749979607,0.0,0.0
30,5.0,30,12,9,0.3828536904172252,0.11157401664837141,0.15314147616689008,6.873926589894435,5.398797736132595,5.649726173732294,0.4,0.3
30,15.0,30,29,27,0.4182299520822709,0.09502678995645664,0.4042889536795285,0.001272037549455329,8.326185591667793,8.577114029267493,0.9666666666666667,0.9
30,60.0,30,30,30,0.4355658723834565,0.05062912065904958,0.4355658723834565,0.0,9.1419740847991,9.3929025223988,1.0,1.0
30,600.0,30,30,30,0.4355658723834565,0.05062912065904958,0.4355658723834565,0.0,9.273064915266877,9.523993352866576,1.0,1.0
40,1.0,30,0,0,,,0.0,,1.490032298701893,1.911551041668766,0.0,0.0
40,5.0,30,5,3,0.28670622335926227,0.1444204258861517,0.04778437055987705,18.671589177316065,5.8308986638328255,6.252417406799698,0.16666666666666666,0.1
40,15.0,30,28,16,0.2712524243788611,0.14748311084585525,0.25316892942027036,81.07969310429178,12.598827573634724,13.020346316601596,0.9333333333333333,0.5333333333333333
40,60.0,30,30,29,0.34789902223224245,0.07449240697858892,0.34789902223224245,214.1943581422809,17.077346265299518,17.49886500826639,1.0,0.9666666666666667
40,600.0,30,30,30,0.3595035922499032,0.03709736698768541,0.3595035922499032,0.0,19.462913991633588,19.884432734600463,1.0,1.0
50,1.0,30,0,0,,,0.0,,1.347112608400736,1.9819160516029417,0.0,0.0
50,5.0,30,1,0,0.0,,0.0,,6.103757162499338,6.738560605701545,0.03333333333333333,0.0
50,15.0,30,20,5,0.1539745619422717,0.13836183873664398,0.10264970796151446,36.07335446077803,16.38068239989807,17.015485843100276,0.6666666666666666,0.16666666666666666
50,60.0,30,30,25,0.254264382734364,0.11595109421906917,0.254264382734364,260.6179979426799,30.0759100694675,30.710713512669706,1.0,0.8333333333333334
50,600.0,30,30,30,0.3048596486760937,0.03618554971238114,0.3048596486760937,0.0,36.739569224798956,37.37437266800116,1.0,1.0
60,1.0,30,0,0,,,0.0,,1.4572020902327494,2.527352176231701,0.0,0.0
60,5.0,30,0,0,,,0.0,,6.055217661065399,7.12536774706435,0.0,0.0
60,15.0,30,9,2,0.08514021764024554,0.13149676911987582,0.02554206529207366,0.12152183491810818,18.267357306999717,19.337507392998667,0.3,0.06666666666666667
60,60.0,30,27,16,0.18228364617517384,0.12341471195330242,0.16405528155765647,30.485117311010715,45.45598197776611,46.52613206376506,0.9,0.5333333333333333
60,600.0,30,30,30,0.26935602157006966,0.02831646276273697,0.26935602157006966,0.0,81.38237855559903,82.452528641598,1.0,1.0
