Execution ID,Run ID,Run Correlative,Run Total,Scenario,Tasks,Seed,Started At,Finished At,Elapsed sec,Elapsed HH:MM:SS,Status,Methods Requested,HiGHS Budgets sec,HiGHS Incumbents,HiGHS Certified,RSS GB,Swap GB,Error
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,20,1,2026-08-08T11:24:02-04:00,2026-08-08T11:24:39-04:00,36.673065916998894,00:00:37,COMPLETED,7,"1,5,15,60,600",3,3,0.280792236328125,4.3831787109375,
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,20,2,2026-08-08T11:24:39-04:00,2026-08-08T11:24:48-04:00,8.630785375004052,00:00:09,COMPLETED,7,"1,5,15,60,600",4,4,0.2910614013671875,4.3675537109375,
20260808_112401-0400,20260808_112401-0400-0003,3,150,A4x4_T20_S3,20,3,2026-08-08T11:24:48-04:00,2026-08-08T11:25:00-04:00,12.165300874999957,00:00:12,COMPLETED,7,"1,5,15,60,600",4,4,0.250946044921875,4.361083984375,
20260808_112401-0400,20260808_112401-0400-0004,4,150,A4x4_T20_S4,20,4,2026-08-08T11:25:00-04:00,2026-08-08T11:25:25-04:00,24.98121616699791,00:00:25,COMPLETED,7,"1,5,15,60,600",4,3,0.265350341796875,2.87115478515625,
20260808_112401-0400,20260808_112401-0400-0005,5,150,A4x4_T20_S5,20,5,2026-08-08T11:25:25-04:00,2026-08-08T11:25:41-04:00,16.18794445799722,00:00:16,COMPLETED,7,"1,5,15,60,600",4,4,0.233154296875,2.85552978515625,
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,20,6,2026-08-08T11:25:41-04:00,2026-08-08T11:25:49-04:00,7.69116975000361,00:00:08,COMPLETED,7,"1,5,15,60,600",4,4,0.2737579345703125,2.85552978515625,
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,20,7,2026-08-08T11:25:49-04:00,2026-08-08T11:27:00-04:00,71.77784620900638,00:01:12,COMPLETED,7,"1,5,15,60,600",3,2,0.4384307861328125,3.0430908203125,
20260808_112401-0400,20260808_112401-0400-0008,8,150,A4x4_T20_S8,20,8,2026-08-08T11:27:00-04:00,2026-08-08T11:27:10-04:00,9.77743037500477,00:00:10,COMPLETED,7,"1,5,15,60,600",4,4,0.264739990234375,3.0430908203125,
20260808_112401-0400,20260808_112401-0400-0009,9,150,A4x4_T20_S9,20,9,2026-08-08T11:27:10-04:00,2026-08-08T11:27:25-04:00,14.439796291000675,00:00:14,COMPLETED,7,"1,5,15,60,600",4,4,0.319915771484375,3.0430908203125,
20260808_112401-0400,20260808_112401-0400-0010,10,150,A4x4_T20_S10,20,10,2026-08-08T11:27:25-04:00,2026-08-08T11:27:32-04:00,7.275595208004233,00:00:07,COMPLETED,7,"1,5,15,60,600",4,4,0.38916015625,3.0430908203125,
