Tasks,Budget sec,Runs,Incumbents,Certified,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_MIP_Gap,Mean_Solver_sec,Mean_End_to_End_sec,Incumbent Rate,Certification Rate
20,1.0,1,0,0,,,0.0,,1.080409750000399,1.2434574170001724,0.0,0.0
20,5.0,1,0,0,,,0.0,,5.645345417000499,5.808393084000272,0.0,0.0
20,15.0,1,1,1,0.5269807318306424,,0.5269807318306424,0.0,8.110342040999967,8.27338970799974,1.0,1.0
20,60.0,1,1,1,0.5269807318306424,,0.5269807318306424,0.0,7.335114624998823,7.498162291998597,1.0,1.0
20,600.0,1,1,1,0.5269807318306424,,0.5269807318306424,0.0,7.332598709002923,7.495646376002696,1.0,1.0
