Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,MIP Nodes,Time Limit sec
20260807_233653-0400,20260807_233653-0400-0001,1,1,A4x4_T20_S1,1,20,Greedy-Benefit,0.4562900666450066,0.6551181102362205,0.6342105263157897,13,0.65,13.0,9.0,350.0,0.6842105263157895,0.6923076923076923,0.35,44.53846153846154,82.0,102.0,243.4748223309835,126.86355396094426,116.61126837003928,0.0018740749547594647,0.0022188329967320897,,,,0.002219124999101041,False,,,,,,,Constructive heuristic,,
20260807_233653-0400,20260807_233653-0400-0001,1,1,A4x4_T20_S1,1,20,Greedy-Density-Operational,0.4708142531806667,0.7653543307086613,0.7394736842105266,15,0.75,15.0,11.0,350.0,0.7894736842105263,0.8461538461538461,0.35,48.86666666666667,93.0,105.0,273.69514542900066,142.1014750263801,131.59367040262055,0.0017202141179475205,0.0014668330004496966,,,,0.0014670419986941852,False,,,,,,,Constructive heuristic,,
20260807_233653-0400,20260807_233653-0400-0001,1,1,A4x4_T20_S1,1,20,HiGHS-600s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,7.338812666999729,7.338812666999729,0.1337015830031305,0.024939499999163672,7.497453750002023,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,600.0
