Scenario,Tasks,Method,Accumulated Benefit,Physical Completed Tasks,Average Response Time,Maximum Response Time,Productive Time,Active Time,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Runtime sec,Variables,Constraints
default_nodes_T20_S1,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.0006058216094970703,,
default_nodes_T20_S1,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.77345609664917,7352.0,2141.0
default_nodes_T20_S2,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00023508071899414062,,
default_nodes_T20_S2,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.4012937545776367,7352.0,2141.0
default_nodes_T20_S3,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.0001761913299560547,,
default_nodes_T20_S3,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.894671678543091,7352.0,2141.0
default_nodes_T20_S4,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.0003948211669921875,,
default_nodes_T20_S4,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.6403090953826904,7352.0,2141.0
default_nodes_T20_S5,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00018596649169921875,,
default_nodes_T20_S5,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.6315267086029053,7352.0,2141.0
default_nodes_T20_S6,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00017690658569335938,,
default_nodes_T20_S6,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,3.103360891342163,7352.0,2141.0
default_nodes_T20_S7,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00021004676818847656,,
default_nodes_T20_S7,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.426561117172241,7352.0,2141.0
default_nodes_T20_S8,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00017714500427246094,,
default_nodes_T20_S8,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.563616991043091,7352.0,2141.0
default_nodes_T20_S9,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00024390220642089844,,
default_nodes_T20_S9,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.3700642585754395,7352.0,2141.0
default_nodes_T20_S10,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00016880035400390625,,
default_nodes_T20_S10,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.643739938735962,7352.0,2141.0
default_nodes_T30_S1,30,Greedy,0.2829202174023537,17,51.8235294117647,119.0,256.30016002207014,436.33312604912123,154.30016002207012,154.03296602705106,308.3331260491212,26.0,334.3331260491212,0.00030493736267089844,,
default_nodes_T30_S1,30,Exact-HiGHS,0.3315801392182967,18,44.77777777777778,107.0,241.13995925722077,383.6123913919493,133.13995925722077,120.47243213472854,253.6123913919493,22.0,275.6123913919493,1.828477144241333,8979.0,2269.0
default_nodes_T30_S2,30,Greedy,0.3285862131339157,18,45.888888888888886,99.0,246.8076118465053,411.05959883231594,138.8076118465053,138.25198698581065,277.05959883231594,26.0,303.05959883231594,0.0002880096435546875,,
default_nodes_T30_S2,30,Exact-HiGHS,0.3655164776931282,19,46.1578947368421,105.0,245.2138085630724,402.044402021248,131.2138085630724,130.8305934581756,262.044402021248,26.0,288.044402021248,2.805393934249878,12903.0,3197.0
default_nodes_T30_S3,30,Greedy,0.3177359817956959,18,46.55555555555556,116.0,251.69000387300002,421.022340314763,143.69000387300002,143.33233644176303,287.022340314763,26.0,313.022340314763,0.00030517578125,,
default_nodes_T30_S3,30,Exact-HiGHS,0.3562779611585325,19,44.1578947368421,101.0,235.9328293822781,382.04263345023014,121.9328293822781,120.10980406795204,242.04263345023014,26.0,268.04263345023014,2.9898922443389893,11568.0,2845.0
default_nodes_T30_S4,30,Greedy,0.3171933185245635,18,47.833333333333336,117.0,244.18887607319797,401.8390700867685,136.18887607319797,133.65019401357054,269.8390700867685,24.0,293.8390700867685,0.0004279613494873047,,
default_nodes_T30_S4,30,Exact-HiGHS,0.35014956896069327,18,44.72222222222222,101.0,227.17167099329413,369.9601268816915,119.17167099329414,118.78845588839735,237.9601268816915,24.0,261.9601268816915,2.163248062133789,11925.0,2966.0
default_nodes_T30_S5,30,Greedy,0.31918101000762533,18,46.22222222222222,116.0,249.2064626473686,416.0552578635002,141.2064626473686,140.8487952161316,282.0552578635002,26.0,308.0552578635002,0.0003809928894042969,,
default_nodes_T30_S5,30,Exact-HiGHS,0.34743691426149514,19,45.73684210526316,101.0,246.027170530083,402.23131574583994,132.027170530083,130.20414521575694,262.23131574583994,26.0,288.23131574583994,2.317228078842163,11191.0,2746.0
default_nodes_T30_S6,30,Greedy,0.29647785958407735,16,43.625,88.0,220.52509249711173,364.38251273010405,124.52509249711173,121.85742023299233,246.38251273010405,22.0,268.38251273010405,0.0002720355987548828,,
default_nodes_T30_S6,30,Exact-HiGHS,0.34380797439416494,18,44.611111111111114,105.0,237.93456416067878,391.4218914604637,129.93456416067878,129.48732729978494,259.4218914604637,24.0,283.4218914604637,1.8540492057800293,9092.0,2274.0
default_nodes_T30_S7,30,Greedy,0.3162001266837369,17,46.0,105.0,246.42129025292473,416.5753865108304,144.42129025292473,144.15409625790568,288.5753865108304,26.0,314.5753865108304,0.0003018379211425781,,
default_nodes_T30_S7,30,Exact-HiGHS,0.3541426301928801,18,46.111111111111114,113.0,237.76104854378065,376.4555653767202,129.76104854378065,116.69451683293953,246.4555653767202,22.0,268.4555653767202,1.4847111701965332,10340.0,2638.0
default_nodes_T30_S8,30,Greedy,0.2891533839119926,17,49.529411764705884,113.0,250.87570380427022,425.4842136135214,148.87570380427022,148.60850980925116,297.4842136135214,26.0,323.4842136135214,0.0003020763397216797,,
default_nodes_T30_S8,30,Exact-HiGHS,0.32626323190569145,18,47.55555555555556,116.0,253.63337012886797,422.8493191875683,145.63337012886797,145.21594905870037,290.8493191875683,24.0,314.8493191875683,1.5929720401763916,9117.0,2282.0
default_nodes_T30_S9,30,Greedy,0.28468151122522345,16,47.8125,108.0,242.94927066274363,413.6313473304682,146.94927066274363,146.68207666772457,293.6313473304682,24.0,317.6313473304682,0.00028014183044433594,,
default_nodes_T30_S9,30,Exact-HiGHS,0.32685893142421485,18,48.333333333333336,116.0,255.6642051838654,426.945195262834,147.6642051838654,147.2809900789686,294.945195262834,24.0,318.945195262834,1.5111379623413086,9153.0,2306.0
default_nodes_T30_S10,30,Greedy,0.30770861424245965,17,46.8235294117647,109.0,229.4204859635417,380.1265410711705,127.42048596354168,126.70605510762879,254.12654107117046,24.0,278.12654107117044,0.0002892017364501953,,
default_nodes_T30_S10,30,Exact-HiGHS,0.351914842838691,20,50.9,119.0,266.55406573137213,440.7249163578475,146.55406573137216,146.17085062647539,292.7249163578475,28.0,320.7249163578475,1.6010088920593262,10130.0,2622.0
default_nodes_T40_S1,40,Greedy,0.24636197926336484,20,50.7,114.0,260.6729633498144,429.2077229091017,140.6729633498144,140.5347595592873,281.2077229091017,28.0,309.2077229091017,0.0004191398620605469,,
default_nodes_T40_S1,40,Exact-HiGHS,0.28111179509661055,21,48.476190476190474,119.0,239.16218654697224,363.8243730939445,113.16218654697225,100.66218654697225,213.8243730939445,24.0,237.8243730939445,2.3626937866210938,14757.0,2924.0
default_nodes_T40_S2,40,Greedy,0.26728104884365367,20,47.95,119.0,248.81675334682092,401.7830579365792,128.81675334682092,124.96630458975828,253.7830579365792,28.0,281.7830579365792,0.000453948974609375,,
default_nodes_T40_S2,40,Exact-HiGHS,0.2986543836798649,22,49.18181818181818,112.0,262.18004358354074,420.40684575887497,130.1800435835407,128.22680217533423,258.40684575887497,30.0,288.40684575887497,1.919348955154419,16035.0,3222.0
default_nodes_T40_S3,40,Greedy,0.2415591398737528,19,47.473684210526315,94.0,234.10980406795204,376.2663667276976,120.10980406795203,118.15656265974555,238.26636672769757,24.0,262.2663667276976,0.00039196014404296875,,
default_nodes_T40_S3,40,Exact-HiGHS,0.27571783881677814,20,46.2,107.0,236.98763795572967,379.97527591145933,116.98763795572968,116.98763795572968,233.97527591145936,26.0,259.97527591145933,3.4354941844940186,14683.0,2905.0
default_nodes_T40_S4,40,Greedy,0.25509444790849606,19,47.0,104.0,244.95580788109518,399.82017056345677,130.95580788109518,128.8643626823616,259.82017056345677,26.0,285.82017056345677,0.00043487548828125,,
default_nodes_T40_S4,40,Exact-HiGHS,0.2855304752709739,20,46.35,97.0,240.0476839749011,385.96637774531024,120.0476839749011,119.91869377040913,239.96637774531024,26.0,265.96637774531024,3.728559732437134,15927.0,3214.0
default_nodes_T40_S5,40,Greedy,0.2693152881197902,21,50.0,119.0,267.1121782507712,435.67794522688285,141.1121782507712,140.56576697611166,281.67794522688285,28.0,309.67794522688285,0.0004279613494873047,,
default_nodes_T40_S5,40,Exact-HiGHS,0.2858418879851534,19,43.21052631578947,93.0,222.11396866821406,341.3754478316153,108.11396866821407,97.26147916340126,205.37544783161533,22.0,227.37544783161533,6.012767314910889,14653.0,2959.0
default_nodes_T40_S6,40,Greedy,0.2570258589666744,19,46.0,99.0,240.8078004657101,391.16836407052637,126.8078004657101,126.36056360481626,253.16836407052637,24.0,277.16836407052637,0.00045228004455566406,,
default_nodes_T40_S6,40,Exact-HiGHS,0.27506708222464765,20,47.35,108.0,238.8189688334601,381.08231280622556,118.8189688334601,118.26334397276543,237.08231280622553,24.0,261.08231280622556,4.086993932723999,14653.0,2978.0
default_nodes_T40_S7,40,Greedy,0.24260204574053817,18,47.833333333333336,100.0,237.6918177153828,392.699020365579,129.6918177153828,129.00720265019618,258.699020365579,26.0,284.699020365579,0.0004253387451171875,,
default_nodes_T40_S7,40,Exact-HiGHS,0.27548976336421355,19,45.8421052631579,99.0,237.36195946911727,386.58571514770745,123.36195946911728,123.22375567859018,246.58571514770745,26.0,272.58571514770745,2.4430389404296875,12915.0,2683.0
default_nodes_T40_S8,40,Greedy,0.23487453315184667,19,50.1578947368421,114.0,239.34463400891786,388.7280389129825,125.34463400891785,123.38340490406468,248.72803891298253,26.0,274.7280389129825,0.000415802001953125,,
default_nodes_T40_S8,40,Exact-HiGHS,0.26826038836225313,18,43.27777777777778,94.0,231.34334907594058,365.35845674367465,123.34334907594058,112.01510766773409,235.35845674367465,22.0,257.35845674367465,2.041585922241211,14550.0,2964.0
default_nodes_T40_S9,40,Greedy,0.24679258265665094,19,48.526315789473685,107.0,254.70397076663875,419.3164963345439,140.70397076663875,138.61252556790518,279.3164963345439,26.0,305.3164963345439,0.0004000663757324219,,
default_nodes_T40_S9,40,Exact-HiGHS,0.2779149200579042,19,45.26315789473684,101.0,225.4486965883379,346.32321114214574,111.44869658833791,98.87451455380786,210.32321114214577,22.0,232.32321114214577,1.7439100742340088,14323.0,2845.0
default_nodes_T40_S10,40,Greedy,0.24496258221673228,18,45.72222222222222,99.0,239.84089930218173,397.54359481383636,131.84089930218173,131.70269551165464,263.54359481383636,26.0,289.54359481383636,0.0003979206085205078,,
default_nodes_T40_S10,40,Exact-HiGHS,0.2822011286540924,21,48.04761904761905,109.0,249.78475601178826,399.61627061537,123.78475601178825,121.83151460358177,245.61627061537,28.0,273.61627061537,3.4704341888427734,15680.0,3191.0
default_nodes_T50_S1,50,Greedy,0.1996918015465007,20,50.3,114.0,252.92266191490432,413.70712003928156,132.92266191490432,132.78445812437724,265.70712003928156,28.0,293.70712003928156,0.0005490779876708984,,
default_nodes_T50_S1,50,Exact-HiGHS,0.2291988311674629,20,46.6,104.0,232.6371230213061,353.59267950265473,112.63712302130611,98.95555648134861,211.59267950265473,22.0,233.59267950265473,2.1549720764160156,16881.0,3020.0
default_nodes_T50_S2,50,Greedy,0.21379554443385643,20,47.95,119.0,248.81675334682092,401.7830579365792,128.81675334682092,124.96630458975828,253.7830579365792,28.0,281.7830579365792,0.0005660057067871094,,
default_nodes_T50_S2,50,Exact-HiGHS,0.24562114977851363,23,48.91304347826087,104.0,257.20008938973535,404.57715346514465,119.20008938973538,117.37706407540931,236.5771534651447,30.0,266.5771534651447,3.5122268199920654,18182.0,3294.0
default_nodes_T50_S3,50,Greedy,0.20134847538977377,19,48.36842105263158,114.0,240.1707193352653,392.2032348800035,126.1707193352653,126.03251554473819,252.2032348800035,26.0,278.2032348800035,0.0005362033843994141,,
default_nodes_T50_S3,50,Exact-HiGHS,0.22204474679351843,20,45.4,102.0,234.2875089169637,374.4368140434003,114.28750891696372,114.14930512643662,228.43681404340032,26.0,254.43681404340032,2.792849063873291,16549.0,2978.0
default_nodes_T50_S4,50,Greedy,0.2007691226748956,18,44.166666666666664,93.0,222.82953979991666,361.6978504949802,114.82953979991666,112.8683106950635,227.69785049498017,26.0,253.69785049498017,0.0005950927734375,,
default_nodes_T50_S4,50,Exact-HiGHS,0.24017091633112508,22,49.04545454545455,114.0,256.36346410089374,408.5887244112604,124.36346410089374,124.22526031036662,248.58872441126036,28.0,276.5887244112604,4.00385308265686,18492.0,3338.0
default_nodes_T50_S5,50,Greedy,0.22310893208680535,21,47.666666666666664,114.0,243.62200799980343,388.9768220045878,117.62200799980343,117.35481400478436,234.9768220045878,28.0,262.9768220045878,0.0005869865417480469,,
default_nodes_T50_S5,50,Exact-HiGHS,0.24217853540496942,23,49.21739130434783,117.0,259.4321025279982,410.8642050559964,121.4321025279982,121.4321025279982,242.8642050559964,30.0,272.8642050559964,3.18253493309021,17826.0,3257.0
default_nodes_T50_S6,50,Greedy,0.19790488345297735,18,43.94444444444444,95.0,221.10615248762187,356.0060645560209,113.10615248762187,110.89991206839903,224.0060645560209,24.0,248.0060645560209,0.0005340576171875,,
default_nodes_T50_S6,50,Exact-HiGHS,0.22971307072108618,22,49.13636363636363,101.0,254.18374921606173,401.8118735714288,122.18374921606173,121.62812435536705,243.81187357142878,26.0,269.8118735714288,2.136446952819824,17125.0,3118.0
default_nodes_T50_S7,50,Greedy,0.2144117955840893,20,47.6,122.0,247.50560873031714,402.8730136701072,127.50560873031714,127.36740493979003,254.87301367010718,28.0,282.8730136701072,0.0007770061492919922,,
default_nodes_T50_S7,50,Exact-HiGHS,0.23655043928454483,22,48.04545454545455,101.0,249.08895677749058,393.7604924848136,117.08895677749058,116.671535707323,233.7604924848136,28.0,261.7604924848136,3.4570200443267822,17303.0,3102.0
default_nodes_T50_S8,50,Greedy,0.1993343407876819,21,51.285714285714285,117.0,243.96092517013085,384.14558361772913,117.96092517013085,114.18465844759828,232.14558361772913,26.0,258.14558361772913,0.0005669593811035156,,
default_nodes_T50_S8,50,Exact-HiGHS,0.22802421880131366,22,51.04545454545455,114.0,255.00199300565833,404.0427569064635,123.00199300565835,121.0407639008052,244.04275690646355,28.0,272.0427569064635,3.6336419582366943,17052.0,3076.0
default_nodes_T50_S9,50,Greedy,0.20314872897793604,20,49.4,97.0,254.69786244392014,413.5726995735142,134.69786244392014,132.8748371295941,267.5726995735142,26.0,293.5726995735142,0.0005350112915039062,,
default_nodes_T50_S9,50,Exact-HiGHS,0.2290030644508626,20,46.1,105.0,238.2547825851531,354.15102394467476,118.2547825851531,93.89624135952167,212.15102394467476,22.0,234.15102394467476,2.173172950744629,16662.0,2978.0
default_nodes_T50_S10,50,Greedy,0.19847277795507784,19,47.63157894736842,99.0,238.0905978672717,388.0429919440163,124.09059786727168,123.95239407674458,248.04299194401625,26.0,274.04299194401625,0.0005738735198974609,,
default_nodes_T50_S10,50,Exact-HiGHS,0.227757620030483,20,45.1,95.0,234.43600477233335,372.91876813646024,114.43600477233335,112.48276336412687,226.91876813646022,26.0,252.91876813646022,5.377501964569092,17859.0,3284.0
default_nodes_T60_S1,60,Greedy,0.17600898609566745,21,49.23809523809524,114.0,242.9679542696453,387.7977047487635,116.96795426964529,116.82975047911819,233.79770474876346,28.0,261.79770474876346,0.0007822513580322266,,
default_nodes_T60_S1,60,Exact-HiGHS,0.20526479969441003,22,48.5,119.0,254.13181312494896,389.63463604540595,122.13181312494895,109.50282292045698,231.63463604540593,26.0,257.63463604540595,2.3529210090637207,21599.0,3360.0
default_nodes_T60_S2,60,Greedy,0.1828978313512804,21,48.80952380952381,117.0,257.71112023546436,417.4689990627222,131.71112023546434,129.75787882725785,261.4689990627222,30.0,291.4689990627222,0.0006840229034423828,,
default_nodes_T60_S2,60,Exact-HiGHS,0.20499358903306736,24,51.041666666666664,117.0,273.8606053010408,435.7212106020815,129.86060530104075,129.86060530104072,259.72121060208144,32.0,291.72121060208144,4.413524866104126,21459.0,3326.0
default_nodes_T60_S3,60,Greedy,0.1919818660940374,21,48.61904761904762,114.0,253.097805616616,410.05740744270486,127.097805616616,126.95960182608889,254.05740744270489,30.0,284.05740744270486,0.000701904296875,,
default_nodes_T60_S3,60,Exact-HiGHS,0.2045743655592378,22,47.95454545454545,117.0,254.57366160749905,405.009119424471,122.57366160749906,122.43545781697198,245.00911942447104,28.0,273.009119424471,3.6082820892333984,21282.0,3331.0
default_nodes_T60_S4,60,Greedy,0.17376123505933708,20,47.3,99.0,243.17503766792555,391.8286564404272,123.17503766792555,122.65361877250167,245.8286564404272,26.0,271.8286564404272,0.000865936279296875,,
default_nodes_T60_S4,60,Exact-HiGHS,0.20277196689296517,22,48.72727272727273,113.0,265.72770934087896,426.9595474599938,133.72770934087896,133.23183811911483,266.9595474599938,28.0,294.9595474599938,3.309067964553833,22078.0,3429.0
default_nodes_T60_S5,60,Greedy,0.1869370734088819,23,51.65217391304348,119.0,263.6752543802255,420.95432456094005,125.67525438022554,125.27907018071453,250.95432456094005,32.0,282.95432456094005,0.0007967948913574219,,
default_nodes_T60_S5,60,Exact-HiGHS,0.2131561008807729,23,46.52173913043478,95.0,241.4336472271422,360.21818381361084,103.43364722714219,90.78453658646868,194.21818381361086,28.0,222.21818381361086,2.99542498588562,21095.0,3322.0
default_nodes_T60_S6,60,Greedy,0.16611632721052033,20,46.95,94.0,226.5789591588807,353.3816515952289,106.57895915888072,102.80269243634818,209.3816515952289,24.0,233.3816515952289,0.0006759166717529297,,
default_nodes_T60_S6,60,Exact-HiGHS,0.1916509960983959,23,51.21739130434783,114.0,258.3031616891019,404.64509427335065,120.30316168910188,118.34193258424872,238.6450942733506,28.0,266.6450942733506,3.58868408203125,20118.0,3154.0
default_nodes_T60_S7,60,Greedy,0.20574146158029902,23,47.869565217391305,107.0,257.46715487120827,408.93430974241653,119.46715487120828,119.46715487120827,238.93430974241653,32.0,270.93430974241653,0.0012290477752685547,,
default_nodes_T60_S7,60,Exact-HiGHS,0.21756342102022885,24,48.166666666666664,101.0,251.7402137670997,387.65740221987335,107.74021376709969,105.91718845277362,213.6574022198733,30.0,243.6574022198733,3.787111282348633,22981.0,3617.0
default_nodes_T60_S8,60,Greedy,0.18112688319223524,23,52.73913043478261,114.0,248.90979040721993,389.6813770239128,110.90979040721994,110.77158661669283,221.68137702391277,30.0,251.68137702391277,0.0007302761077880859,,
default_nodes_T60_S8,60,Exact-HiGHS,0.21571583554520604,23,48.17391304347826,109.0,244.1182161697204,363.5982285489137,106.1182161697204,93.48001237919331,199.5982285489137,26.0,225.5982285489137,2.8265879154205322,22718.0,3546.0
