tasks,instance_seed,replicate,episode_seed,policy,ppo_seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps,medical_completion_rate,medical_benefit,personnel_completion_rate,personnel_benefit,cargo_completion_rate,cargo_benefit
20,11,0,12001100,PPO,218,0.22962936474607865,9,0.45,0.3,37.111111111111114,84.0,147.37711184285735,0,0,37,0.2727272727272727,0.1338106703207272,0.3333333333333333,0.002153807487127648,0.8333333333333334,0.09366488693822378
20,12,0,12001200,Greedy online,-1,0.5233363578671462,15,0.75,0.5,22.4,103.0,153.76505088389789,1,0,36,0.8181818181818182,0.43918677361385056,0.6,0.039501492007945026,0.75,0.044648092245350636
20,12,0,12001200,PPO,218,0.48220335039139756,12,0.6,0.45,24.166666666666668,92.0,100.66145862432323,1,0,38,0.8181818181818182,0.4244571308997386,0.2,0.028557072114678374,0.5,0.02918914737698062
20,13,0,12001300,Greedy online,-1,0.3781725282143795,13,0.65,0.35,30.923076923076923,92.0,223.5540678700641,1,0,35,0.8181818181818182,0.29642574333809524,0.4,0.07281628260784616,0.5,0.008930502268438103
20,13,0,12001300,PPO,218,0.35293082872153037,13,0.65,0.35,33.69230769230769,112.0,228.44339460180794,0,0,35,0.7272727272727273,0.24124013103614594,0.6,0.08135708490302232,0.5,0.030333612782362126
20,14,0,12001400,Greedy online,-1,0.3893447634352056,14,0.7,0.35,32.214285714285715,105.0,212.5261783971693,4,0,40,0.6,0.1480896357159554,0.6363636363636364,0.17399168945695245,1.0,0.06726343826229772
20,14,0,12001400,PPO,218,0.34419682771946203,9,0.45,0.4,21.555555555555557,78.0,101.17406002299789,0,0,27,0.4,0.1265102000941402,0.2727272727272727,0.11987337540966676,1.0,0.09781325221565507
20,15,0,12001500,Greedy online,-1,0.4862118501590161,15,0.75,0.45,22.8,92.0,189.270820124949,0,0,39,0.75,0.31580481385503495,0.7777777777777778,0.13573015287789,0.6666666666666666,0.03467688342609113
20,15,0,12001500,PPO,218,0.4027977677955791,15,0.75,0.3,32.2,94.0,216.77145125433438,0,0,42,0.875,0.2859782655138122,0.7777777777777778,0.10918196565653199,0.3333333333333333,0.007637536625234917
20,16,0,12001600,Greedy online,-1,0.30008109548539547,13,0.65,0.25,39.0,106.0,267.9528153501278,0,0,38,0.7,0.18007274684852445,0.6666666666666666,0.11684188707324084,0.5,0.0031664615636302286
20,16,0,12001600,PPO,218,0.23696689291934703,12,0.6,0.25,36.583333333333336,95.0,210.24036029907603,0,0,43,0.6,0.09796889106891514,0.5,0.08859525638287513,0.75,0.050402745467556756
20,17,0,12001700,Greedy online,-1,0.2960091008540591,13,0.65,0.4,29.307692307692307,115.0,234.44171097998833,1,0,35,0.5454545454545454,0.15059865961887536,0.8,0.07479511111116957,0.75,0.0706153301240142
20,17,0,12001700,PPO,218,0.26536383460662255,10,0.5,0.4,25.3,83.0,148.17383014688653,1,0,34,0.36363636363636365,0.11474213652986835,0.6,0.08435086364752796,0.75,0.06627083442922632
20,18,0,12001800,Greedy online,-1,0.3695503426687977,12,0.6,0.35,29.25,96.0,213.99553712482793,0,0,32,0.7777777777777778,0.24401428590987642,0.2857142857142857,0.04155678855597195,0.75,0.08397926820294929
20,18,0,12001800,PPO,218,0.26718674825030775,11,0.55,0.25,36.0,100.0,221.41434072478253,2,0,38,0.7777777777777778,0.2378094217858784,0.2857142857142857,0.006626079256939285,0.5,0.02275124720749006
20,19,0,12001900,Greedy online,-1,0.34808357695168196,13,0.65,0.35,32.53846153846154,123.0,276.0059749685648,0,0,34,0.7142857142857143,0.1769848012454304,0.75,0.05927517640596398,0.5555555555555556,0.1118235993002876
20,19,0,12001900,PPO,218,0.29443180014320514,9,0.45,0.35,24.333333333333332,100.0,142.60420350345677,0,0,29,0.2857142857142857,0.06990162000990167,0.5,0.0732371157582248,0.5555555555555556,0.1512930643750787
20,20,0,12002000,Greedy online,-1,0.3138585020403602,12,0.6,0.3,25.666666666666668,97.0,241.98830375759306,1,0,34,0.6363636363636364,0.22787683018366994,0.6666666666666666,0.06401962805065939,0.5,0.021962043806030836
20,20,0,12002000,PPO,218,0.26852714762593666,12,0.6,0.25,29.75,108.0,206.64578932257237,1,0,42,0.6363636363636364,0.15824620034875062,0.3333333333333333,0.046153846153846156,0.6666666666666666,0.06412710112333977
20,21,0,12002100,Greedy online,-1,0.425872793700792,15,0.75,0.45,30.066666666666666,103.0,226.80540825920056,1,0,39,0.7777777777777778,0.2483708149553825,0.75,0.06563040033306353,0.7142857142857143,0.111871578412346
20,21,0,12002100,PPO,218,0.33758080412525776,12,0.6,0.35,33.083333333333336,93.0,166.2490965264771,2,0,39,0.5555555555555556,0.20792531439432738,0.5,0.033906499392829845,0.7142857142857143,0.09574899033810047
20,22,0,12002200,Greedy online,-1,0.3620735435965803,13,0.65,0.35,33.15384615384615,88.0,188.88580165804947,2,0,42,0.625,0.2062095956863098,0.5555555555555556,0.12244220019984327,1.0,0.033421747710427246
20,22,0,12002200,PPO,218,0.31267219217182973,12,0.6,0.3,31.5,90.0,179.58659082168128,2,0,40,0.375,0.16504350044477442,0.6666666666666666,0.09549989621228362,1.0,0.052128795514771724
20,23,0,12002300,Greedy online,-1,0.3749701180246279,13,0.65,0.35,31.923076923076923,96.0,252.92838379499324,0,0,34,0.7272727272727273,0.2967249650049582,0.6666666666666666,0.02531691236787974,0.5,0.052928240651789894
20,23,0,12002300,PPO,218,0.31665846020489585,10,0.5,0.3,30.3,76.0,155.79667014928685,0,0,34,0.5454545454545454,0.24557202813160828,0.0,0.0,0.6666666666666666,0.07108643207328762
20,24,0,12002400,Greedy online,-1,0.346262540086696,14,0.7,0.35,34.0,101.0,262.5385900107332,0,0,36,0.5454545454545454,0.16069847759632422,1.0,0.12079270966260815,0.8,0.0647713528277637
20,24,0,12002400,PPO,218,0.28412957068434025,11,0.55,0.35,31.545454545454547,95.0,185.3222067420853,0,0,36,0.45454545454545453,0.08023300954041421,0.75,0.12484547696404405,0.6,0.07905108417988194
20,25,0,12002500,Greedy online,-1,0.36118851236566746,13,0.65,0.35,31.076923076923077,104.0,260.76192331533406,0,0,34,0.875,0.22191930229998796,0.42857142857142855,0.0963852506969825,0.6,0.04288395936869707
20,25,0,12002500,PPO,218,0.26642433634193025,10,0.5,0.3,25.6,100.0,179.17900742684438,0,0,38,0.375,0.11174228218191981,0.5714285714285714,0.10219398331472533,0.6,0.05248807084528512
20,26,0,12002600,Greedy online,-1,0.4393677539114599,13,0.65,0.35,20.53846153846154,86.0,181.82431453253685,2,0,36,0.7,0.30660769053938414,0.6,0.0637338213609943,0.6,0.06902624201108144
20,26,0,12002600,PPO,218,0.31708578132039394,11,0.55,0.3,22.636363636363637,99.0,185.3507636687891,0,0,34,0.6,0.19531899139081482,0.4,0.05017545596617498,0.6,0.07159133396340411
20,27,0,12002700,Greedy online,-1,0.48082367986384533,15,0.75,0.5,32.53333333333333,115.0,232.07579908305843,0,0,35,0.8888888888888888,0.3058329355347975,0.5,0.08509976752983796,0.7142857142857143,0.08989097679920988
20,27,0,12002700,PPO,218,0.3478850452013833,11,0.55,0.4,24.363636363636363,95.0,133.03584757430121,0,0,33,0.5555555555555556,0.17822900001692432,0.5,0.08779044613181254,0.5714285714285714,0.08186559905264641
20,28,0,12002800,Greedy online,-1,0.3929136234530431,14,0.7,0.4,34.142857142857146,102.0,215.52766524557242,3,0,30,0.8,0.25759289571454175,0.4,0.08541572208014823,0.8,0.049905005658353034
20,28,0,12002800,PPO,218,0.28507845942990695,12,0.6,0.3,32.833333333333336,117.0,221.920254729136,3,0,34,0.6,0.16889143092487957,0.6,0.08485003678499671,0.6,0.031336991720030634
20,29,0,12002900,Greedy online,-1,0.4618051268537379,15,0.75,0.45,32.53333333333333,114.0,220.3097286355647,0,0,35,0.8,0.3140752121906874,0.6666666666666666,0.08865446346890557,0.75,0.059075451194144944
20,29,0,12002900,PPO,218,0.3231214414857382,12,0.6,0.3,39.75,114.0,228.2464788636173,1,0,35,0.6,0.2108000481037736,0.5,0.09574610635310736,0.75,0.016575287028857192
20,30,0,12003000,Greedy online,-1,0.30134399833114106,12,0.6,0.25,36.833333333333336,94.0,208.22736179917763,3,0,36,0.7142857142857143,0.1072540862847245,0.4,0.13140921704719588,1.0,0.06268069499922062
20,30,0,12003000,PPO,218,0.2554789573010195,10,0.5,0.3,30.8,105.0,175.95256738322323,1,0,34,0.42857142857142855,0.10722775685827945,0.4,0.07012620044273998,1.0,0.078125
30,1,0,13000100,Greedy online,-1,0.3184183695477213,15,0.5,0.3333333333333333,28.6,97.0,236.6289391461761,1,0,42,0.6,0.2405046060818551,0.375,0.03934601335989864,0.42857142857142855,0.03856775010596759
30,1,0,13000100,PPO,218,0.19172765784469747,14,0.4666666666666667,0.16666666666666666,30.142857142857142,93.0,194.51082396667135,0,0,46,0.4666666666666667,0.1059782193310324,0.375,0.03548160586026091,0.5714285714285714,0.05026783265340416
30,2,0,13000200,Greedy online,-1,0.27109299426154043,14,0.4666666666666667,0.23333333333333334,30.928571428571427,97.0,250.19375339930363,1,0,37,0.4166666666666667,0.1714510197486441,0.4166666666666667,0.07950691149904558,0.6666666666666666,0.02013506301385084
30,2,0,13000200,PPO,218,0.18773494171356458,12,0.4,0.13333333333333333,34.833333333333336,93.0,201.2833038163225,0,0,41,0.4166666666666667,0.13490178090580598,0.3333333333333333,0.04095534903670535,0.5,0.011877811771053237
30,3,0,13000300,Greedy online,-1,0.26091006796778754,13,0.43333333333333335,0.26666666666666666,31.615384615384617,125.0,226.54228692164318,3,0,42,0.42857142857142855,0.17290670666093003,0.42857142857142855,0.058505782241081015,0.4444444444444444,0.02949757906577652
30,3,0,13000300,PPO,218,0.27397547383879395,17,0.5666666666666667,0.26666666666666666,32.05882352941177,117.0,254.84104210154976,0,0,47,0.5,0.15275229276178096,0.5714285714285714,0.05615604985727712,0.6666666666666666,0.06506713121973592
30,4,0,13000400,Greedy online,-1,0.3487751912982766,16,0.5333333333333333,0.36666666666666664,26.25,98.0,210.43560531804712,0,0,38,0.5833333333333334,0.18120921773705267,0.3333333333333333,0.06434835116772539,0.5833333333333334,0.10321762239349859
30,4,0,13000400,PPO,218,0.2267713424644096,13,0.43333333333333335,0.26666666666666666,30.692307692307693,92.0,147.77595717534493,1,0,52,0.5,0.11423992529641029,0.16666666666666666,0.000315946299946289,0.5,0.11221547086805295
30,5,0,13000500,Greedy online,-1,0.2225905339239533,12,0.4,0.2,30.666666666666668,88.0,225.00490812509645,1,0,34,0.4166666666666667,0.16169964389186897,0.5454545454545454,0.04047573335153659,0.14285714285714285,0.02041515668054774
30,5,0,13000500,PPO,218,0.21155711023695445,12,0.4,0.2,30.333333333333332,99.0,217.32043470179687,0,0,42,0.4166666666666667,0.1531037784717039,0.2727272727272727,0.04086092926354893,0.5714285714285714,0.017592402501701625
30,6,0,13000600,Greedy online,-1,0.34033604812697826,16,0.5333333333333333,0.26666666666666666,31.125,100.0,217.82739572131226,0,0,40,0.75,0.28372522728888583,0.125,0.014664580490874102,0.6,0.04194624034721827
30,6,0,13000600,PPO,218,0.21757514410944423,14,0.4666666666666667,0.26666666666666666,36.714285714285715,94.0,204.4268128683432,1,0,37,0.4166666666666667,0.11627547926477687,0.5,0.043409434707949585,0.5,0.05789023013671775
30,7,0,13000700,Greedy online,-1,0.3147501243146481,17,0.5666666666666667,0.3333333333333333,29.058823529411764,103.0,182.6350146152867,1,0,41,0.7,0.17250343655324613,0.25,0.035031915644271876,0.6666666666666666,0.10721477211713012
30,7,0,13000700,PPO,218,0.220810188655299,16,0.5333333333333333,0.23333333333333334,32.9375,103.0,225.0698714581896,1,0,44,0.7,0.08967156231550917,0.25,0.0425099369888388,0.5833333333333334,0.08862868935095104
30,8,0,13000800,Greedy online,-1,0.30629504181990036,15,0.5,0.3,33.86666666666667,113.0,254.64575398746044,0,0,38,0.6153846153846154,0.17368092910239072,0.45454545454545453,0.11289345011916925,0.3333333333333333,0.019720662598340367
30,8,0,13000800,PPO,218,0.24207889272415162,13,0.43333333333333335,0.3,36.53846153846154,117.0,231.63512193050482,0,0,47,0.3076923076923077,0.13951842373495227,0.36363636363636365,0.05180720340439597,0.8333333333333334,0.050753265584803364
30,9,0,13000900,Greedy online,-1,0.3889078637679743,17,0.5666666666666667,0.36666666666666664,26.529411764705884,97.0,193.71968775731708,0,0,46,0.7333333333333333,0.33644102928908276,0.3333333333333333,0.007757703969680717,0.4444444444444444,0.04470913050921084
30,9,0,13000900,PPO,218,0.215416840217786,15,0.5,0.2,46.4,122.0,207.06064777622717,1,0,53,0.4666666666666667,0.13700975707263524,0.6666666666666666,0.06392004426772857,0.4444444444444444,0.014487038877422144
30,10,0,13001000,Greedy online,-1,0.3018141347462701,15,0.5,0.26666666666666666,31.6,104.0,215.9633173605036,2,0,43,0.5833333333333334,0.21673391472140208,0.45454545454545453,0.06682036605166108,0.42857142857142855,0.018259853973207
30,10,0,13001000,PPO,218,0.2792161595184833,15,0.5,0.3333333333333333,30.666666666666668,93.0,190.14809205419272,1,0,41,0.3333333333333333,0.14881149773193103,0.5454545454545454,0.07633176475929368,0.7142857142857143,0.0540728970272585
30,11,0,13001100,Greedy online,-1,0.2029398546303255,12,0.4,0.2,41.5,95.0,237.29759988078186,2,0,41,0.26666666666666666,0.1183768229557443,0.5,0.06059997245273667,0.5555555555555556,0.023963059221844534
30,11,0,13001100,PPO,218,0.18131969345329846,11,0.36666666666666664,0.2,33.90909090909091,89.0,160.15708020877557,1,0,44,0.2,0.07455999854194956,0.5,0.03676184761751896,0.5555555555555556,0.06999784729382993
30,12,0,13001200,Greedy online,-1,0.30398107898193844,16,0.5333333333333333,0.26666666666666666,30.125,111.0,170.53998190487627,4,0,44,0.6470588235294118,0.26388350515454234,0.25,0.012307652438445723,0.6,0.027789921388950315
30,12,0,13001200,PPO,218,0.3087860374353497,17,0.5666666666666667,0.3,30.11764705882353,92.0,140.61489992436,2,0,49,0.6470588235294118,0.23057263935813288,0.375,0.036539125391659655,0.6,0.04167427268555708
30,13,0,13001300,Greedy online,-1,0.3517953404522075,16,0.5333333333333333,0.3333333333333333,29.75,114.0,234.90859725298415,2,0,46,0.6470588235294118,0.26304848132732883,0.2857142857142857,0.05460262898807419,0.5,0.03414423013680454
30,13,0,13001300,PPO,218,0.25085782449569566,15,0.5,0.23333333333333334,38.266666666666666,102.0,237.38754006406757,1,0,47,0.5294117647058824,0.17152209339949753,0.42857142857142855,0.057309116495258904,0.5,0.022026614600939243
30,14,0,13001400,Greedy online,-1,0.3245666693911957,16,0.5333333333333333,0.3,27.375,87.0,187.03853188880177,0,0,43,0.4444444444444444,0.1387210485899562,0.5,0.12357905301704003,0.8,0.062266567784199506
30,14,0,13001400,PPO,218,0.2665587132340974,14,0.4666666666666667,0.3,31.571428571428573,100.0,182.2159239256124,0,0,43,0.2222222222222222,0.07636168904926538,0.5,0.13306313352765936,0.8,0.05713389065717269
30,15,0,13001500,Greedy online,-1,0.3408027346119374,17,0.5666666666666667,0.3333333333333333,37.23529411764706,106.0,213.2286555660636,0,0,40,0.6666666666666666,0.24770793481542427,0.42857142857142855,0.0529753164616701,0.75,0.040119483334842956
30,15,0,13001500,PPO,218,0.20285513609659853,15,0.5,0.2,43.46666666666667,97.0,232.8144294704709,1,0,42,0.25,0.08272477423163178,0.7142857142857143,0.11564431813131863,0.5,0.004486043733648125
30,16,0,13001600,Greedy online,-1,0.24704697435723078,14,0.4666666666666667,0.26666666666666666,35.57142857142857,113.0,291.2140974803821,0,0,42,0.4117647058823529,0.14857394599622953,0.6666666666666666,0.058394233389725894,0.42857142857142855,0.04007879497127533
30,16,0,13001600,PPO,218,0.1454446711297787,11,0.36666666666666664,0.2,43.81818181818182,116.0,204.33868616618838,1,0,46,0.17647058823529413,0.07155047237902887,0.3333333333333333,0.004632435995460487,0.8571428571428571,0.06926176275528936
30,17,0,13001700,Greedy online,-1,0.2597752798254075,16,0.5333333333333333,0.23333333333333334,37.75,124.0,304.4606641536367,1,0,44,0.6111111111111112,0.21341968842439546,0.2857142857142857,0.0222546067575196,0.6,0.024100984643492446
30,17,0,13001700,PPO,218,0.19593297277734664,15,0.5,0.23333333333333334,40.666666666666664,128.0,289.85091534055255,0,0,42,0.3888888888888889,0.10059205342016571,0.5714285714285714,0.06054741624763069,0.8,0.03479350310955022
30,18,0,13001800,Greedy online,-1,0.2961829695068373,15,0.5,0.26666666666666666,42.666666666666664,117.0,269.7873458302976,0,0,39,0.5,0.220789194223663,0.5,0.042362891731241074,0.5,0.033030883551933295
30,18,0,13001800,PPO,218,0.2086954231527509,15,0.5,0.2,42.333333333333336,102.0,235.7496917666855,1,0,42,0.42857142857142855,0.06357528416829572,0.6,0.12430252698579207,0.5,0.02081761199866311
30,19,0,13001900,Greedy online,-1,0.27634427468988576,15,0.5,0.26666666666666666,34.333333333333336,114.0,262.6259834037172,1,0,39,0.6666666666666666,0.1900606815262581,0.5,0.06182937804090669,0.3,0.024454215122720894
30,19,0,13001900,PPO,218,0.27031249489029524,16,0.5333333333333333,0.3,31.0625,105.0,248.4142447793478,1,0,44,0.5833333333333334,0.12324609291310501,0.5,0.07632209772635794,0.5,0.07074430425083225
30,20,0,13002000,Greedy online,-1,0.24951180659698718,15,0.5,0.3,32.86666666666667,112.0,287.75959054505125,0,0,41,0.5555555555555556,0.15957293232222003,0.6,0.05801598286824737,0.2857142857142857,0.031922891406519806
30,20,0,13002000,PPO,218,0.2186376891567676,12,0.4,0.26666666666666666,33.75,101.0,178.51728576354444,1,0,45,0.3333333333333333,0.09075013219183997,0.6,0.08189096204308083,0.42857142857142855,0.04599659492184681
30,21,0,13002100,Greedy online,-1,0.29650083574874253,15,0.5,0.23333333333333334,33.733333333333334,108.0,218.71553935304573,2,0,40,0.5,0.16460251889952618,0.4444444444444444,0.08798318751419024,0.5555555555555556,0.04391512933502614
30,21,0,13002100,PPO,218,0.185564351637484,12,0.4,0.2,38.666666666666664,82.0,170.1555487803652,0,0,38,0.4166666666666667,0.0958137800512357,0.2222222222222222,0.02789162720054945,0.5555555555555556,0.06185894438569883
30,22,0,13002200,Greedy online,-1,0.2691050291377968,16,0.5333333333333333,0.26666666666666666,40.875,91.0,207.06530212437784,1,0,47,0.6363636363636364,0.19573894566205222,0.36363636363636365,0.05301269612076337,0.625,0.02035338735498124
30,22,0,13002200,PPO,218,0.24394628234828744,15,0.5,0.26666666666666666,37.0,94.0,191.89334319244725,1,0,45,0.6363636363636364,0.11162266749728754,0.36363636363636365,0.11531651088995226,0.5,0.017007103961047636
30,23,0,13002300,Greedy online,-1,0.29809038967500734,14,0.4666666666666667,0.23333333333333334,32.07142857142857,96.0,255.2648532498949,0,0,37,0.5625,0.23713780986439253,0.2857142857142857,0.04009670721049296,0.42857142857142855,0.020855872600121908
30,23,0,13002300,PPO,218,0.20495024530688205,13,0.43333333333333335,0.23333333333333334,32.53846153846154,106.0,238.71158695407968,0,0,36,0.4375,0.14308615064246655,0.14285714285714285,0.015151515151515152,0.7142857142857143,0.04671257951290035
30,24,0,13002400,Greedy online,-1,0.2959978309248946,16,0.5333333333333333,0.3,35.25,109.0,257.29886527816564,0,0,38,0.5,0.16636805942682442,0.6666666666666666,0.08805761251953981,0.5,0.04157215897853053
30,24,0,13002400,PPO,218,0.23811038228847803,13,0.43333333333333335,0.26666666666666666,31.076923076923077,78.0,155.14304708225387,0,0,38,0.3125,0.09432962561810362,0.6666666666666666,0.08893096317356325,0.5,0.05484979349681121
30,25,0,13002500,Greedy online,-1,0.2937633315580053,15,0.5,0.26666666666666666,28.6,108.0,225.08915133217747,2,0,42,0.6153846153846154,0.20979053699097722,0.4444444444444444,0.06480392165775181,0.375,0.019168872909276345
30,25,0,13002500,PPO,218,0.13389379906882645,12,0.4,0.16666666666666666,41.25,110.0,238.57789804875063,1,0,41,0.3076923076923077,0.06700408531111873,0.4444444444444444,0.024596807391135952,0.5,0.04229290636657179
30,26,0,13002600,Greedy online,-1,0.32918381448955436,17,0.5666666666666667,0.3,24.647058823529413,105.0,195.89317482590192,1,0,40,0.75,0.23412720163885214,0.3333333333333333,0.046858804506988413,0.5555555555555556,0.04819780834371382
30,26,0,13002600,PPO,218,0.23981442238601633,16,0.5333333333333333,0.2,34.6875,101.0,226.4042966306195,2,0,42,0.6666666666666666,0.15469342184766288,0.5555555555555556,0.08434409704556124,0.3333333333333333,0.0007769034927921793
30,27,0,13002700,Greedy online,-1,0.2728372643218523,17,0.5666666666666667,0.26666666666666666,36.411764705882355,118.0,262.01357621027336,1,0,46,0.5384615384615384,0.1930977367193376,0.5,0.027116980494049113,0.6666666666666666,0.0526225471084655
30,27,0,13002700,PPO,218,0.25972408216450055,13,0.43333333333333335,0.23333333333333334,28.692307692307693,91.0,121.79094977781912,0,0,41,0.38461538461538464,0.12293794587984855,0.5,0.0747415029073788,0.4444444444444444,0.06204463337727323
30,28,0,13002800,Greedy online,-1,0.2969250088491177,15,0.5,0.26666666666666666,35.86666666666667,98.0,212.50397597087644,2,0,41,0.5,0.2072151177702895,0.4444444444444444,0.07740379215773519,0.6,0.012306098921092953
30,28,0,13002800,PPO,218,0.2200528559960021,11,0.36666666666666664,0.26666666666666666,28.272727272727273,91.0,109.67679486827295,2,0,38,0.25,0.11678247589336943,0.3333333333333333,0.043698598305723806,0.8,0.05957178179690889
30,29,0,13002900,Greedy online,-1,0.31638378404901396,15,0.5,0.26666666666666666,28.533333333333335,124.0,222.81234127624765,2,0,39,0.4375,0.23839605309563777,0.5,0.04008969887208723,0.6666666666666666,0.03789803208128896
30,29,0,13002900,PPO,218,0.26136219301253005,14,0.4666666666666667,0.23333333333333334,35.42857142857143,104.0,214.5561431868927,3,0,46,0.4375,0.20065960040813155,0.5,0.056472150960300664,0.5,0.004230441644097885
30,30,0,13003000,Greedy online,-1,0.2765915419669537,16,0.5333333333333333,0.3,32.625,117.0,281.26978360731823,1,0,43,0.5454545454545454,0.1542710371802576,0.4166666666666667,0.06672756844842093,0.7142857142857143,0.05559293633827522
30,30,0,13003000,PPO,218,0.24588869956278622,13,0.43333333333333335,0.3,32.61538461538461,114.0,228.76585381787444,1,0,48,0.36363636363636365,0.07831153355528565,0.5,0.13060861896157153,0.42857142857142855,0.03696854704592904
40,1,0,14000100,Greedy online,-1,0.20949014207872424,14,0.35,0.175,35.642857142857146,101.0,261.56393945369473,1,0,43,0.4,0.14213599009459957,0.3333333333333333,0.050243380395768256,0.2727272727272727,0.017110771588356388
40,1,0,14000100,PPO,218,0.17250062539743027,13,0.325,0.15,32.46153846153846,98.0,203.2219514497322,1,0,44,0.35,0.11603481089140989,0.2222222222222222,0.026434061124480417,0.36363636363636365,0.030031753381539975
40,2,0,14000200,Greedy online,-1,0.19584434273505208,13,0.325,0.2,39.38461538461539,98.0,267.7916773547778,0,0,43,0.3333333333333333,0.1113402082185651,0.3333333333333333,0.06864744318190186,0.2857142857142857,0.015856691334585116
