tasks,ppo_seed,timestep,episode_return,episode_length,instance_seed
30,218,42,0.184593,42,1036
30,218,89,0.161114,47,1055
30,218,142,0.229994,53,1033
30,218,187,0.27207,45,1056
30,218,242,0.301023,55,1059
30,218,283,0.207211,41,1013
30,218,330,0.220128,47,1056
30,218,376,0.209645,46,1023
30,218,425,0.246145,49,1049
30,218,470,0.238012,45,1016
30,218,513,0.208892,43,1011
30,218,554,0.171088,41,1040
30,218,595,0.213231,41,1054
30,218,636,0.227963,41,1012
30,218,682,0.232041,46,1015
30,218,736,0.180781,54,1027
30,218,782,0.200594,46,1007
30,218,831,0.185056,49,1028
30,218,877,0.204461,46,1027
30,218,916,0.199471,39,1001
30,218,964,0.19088,48,1035
30,218,1007,0.221161,43,1027
30,218,1053,0.271823,46,1024
30,218,1100,0.278611,47,1059
30,218,1137,0.136629,37,1008
30,218,1181,0.198873,44,1012
30,218,1227,0.15428,46,1003
30,218,1272,0.207532,45,1028
30,218,1321,0.21808,49,1059
30,218,1370,0.268526,49,1035
30,218,1411,0.284649,41,1054
30,218,1456,0.263676,45,1021
30,218,1502,0.228503,46,1009
30,218,1538,0.177302,36,1014
30,218,1584,0.191873,46,1016
30,218,1631,0.240254,47,1009
30,218,1667,0.210847,36,1044
30,218,1720,0.225365,53,1032
30,218,1761,0.203532,41,1046
30,218,1808,0.198239,47,1033
30,218,1850,0.202847,42,1038
30,218,1900,0.261048,50,1009
30,218,1942,0.158973,42,1057
30,218,1979,0.129687,37,1046
30,218,2028,0.211934,49,1027
30,218,2073,0.261808,45,1043
30,218,2109,0.214391,36,1038
30,218,2152,0.196993,43,1038
30,218,2193,0.13038,41,1046
30,218,2239,0.280013,46,1009
30,218,2279,0.161055,40,1060
30,218,2312,0.231769,33,1030
30,218,2352,0.181845,40,1034
30,218,2399,0.174244,47,1050
30,218,2449,0.176477,50,1025
30,218,2493,0.17894,44,1038
30,218,2538,0.257323,45,1028
30,218,2589,0.226292,51,1029
30,218,2630,0.190712,41,1010
30,218,2670,0.224902,40,1030
30,218,2711,0.227672,41,1054
30,218,2751,0.15853,40,1003
30,218,2792,0.233211,41,1033
30,218,2838,0.247866,46,1045
30,218,2887,0.2168,49,1049
30,218,2934,0.201987,47,1024
30,218,2986,0.210987,52,1016
30,218,3028,0.146762,42,1051
30,218,3072,0.173785,44,1051
30,218,3123,0.27511,51,1009
30,218,3173,0.253233,50,1011
30,218,3225,0.218318,52,1009
30,218,3278,0.229589,53,1009
30,218,3327,0.174649,49,1005
30,218,3375,0.244138,48,1059
30,218,3419,0.206412,44,1015
30,218,3461,0.23212,42,1043
30,218,3506,0.183797,45,1015
30,218,3550,0.212876,44,1030
30,218,3600,0.210815,50,1019
30,218,3650,0.230882,50,1031
30,218,3701,0.174224,51,1051
30,218,3747,0.248512,46,1056
30,218,3790,0.180996,43,1009
30,218,3836,0.250442,46,1056
30,218,3888,0.24816,52,1059
30,218,3927,0.153034,39,1019
30,218,3978,0.21288,51,1018
30,218,4016,0.213167,38,1037
30,218,4058,0.191139,42,1041
30,218,4099,0.218619,41,1041
30,218,4138,0.136758,39,1003
30,218,4178,0.128191,40,1003
30,218,4222,0.194585,44,1029
30,218,4267,0.176484,45,1021
30,218,4306,0.138541,39,1034
30,218,4347,0.172622,41,1019
30,218,4398,0.174234,51,1057
30,218,4446,0.202202,48,1031
30,218,4496,0.129628,50,1018
30,218,4544,0.207505,48,1038
30,218,4590,0.236067,46,1048
30,218,4626,0.17265,36,1017
30,218,4673,0.243526,47,1024
30,218,4722,0.24477,49,1001
30,218,4773,0.193821,51,1015
30,218,4811,0.194273,38,1030
30,218,4855,0.210007,44,1045
30,218,4899,0.216302,44,1011
30,218,4948,0.207409,49,1009
30,218,4997,0.270204,49,1005
30,218,5041,0.12642,44,1037
30,218,5084,0.14934,43,1058
30,218,5127,0.230735,43,1038
30,218,5169,0.219543,42,1014
30,218,5207,0.204737,38,1040
30,218,5253,0.165893,46,1051
30,218,5296,0.23331,43,1055
30,218,5334,0.192742,38,1008
30,218,5385,0.196564,51,1028
30,218,5432,0.162869,47,1047
30,218,5472,0.190247,40,1047
30,218,5509,0.212111,37,1034
30,218,5553,0.257918,44,1028
30,218,5598,0.138607,45,1040
30,218,5638,0.16593,40,1037
30,218,5679,0.13401,41,1052
30,218,5728,0.203051,49,1021
30,218,5779,0.234084,51,1035
30,218,5829,0.202196,50,1005
30,218,5874,0.270298,45,1022
30,218,5917,0.227801,43,1025
30,218,5960,0.192414,43,1037
30,218,6004,0.214064,44,1048
30,218,6048,0.239425,44,1021
30,218,6093,0.219354,45,1021
30,218,6137,0.153385,44,1044
30,218,6179,0.193007,42,1037
30,218,6217,0.160687,38,1042
30,218,6261,0.137417,44,1037
30,218,6300,0.238949,39,1044
30,218,6345,0.192846,45,1056
30,218,6393,0.287403,48,1032
30,218,6438,0.138469,45,1058
30,218,6480,0.177646,42,1058
30,218,6516,0.210684,36,1054
30,218,6557,0.198104,41,1038
30,218,6604,0.211075,47,1002
30,218,6650,0.227869,46,1059
30,218,6700,0.286081,50,1016
30,218,6746,0.192767,46,1017
30,218,6792,0.123315,46,1026
30,218,6850,0.17334,58,1011
30,218,6895,0.177345,45,1044
30,218,6936,0.22328,41,1041
30,218,6976,0.136066,40,1044
30,218,7020,0.207745,44,1036
30,218,7058,0.190156,38,1044
30,218,7099,0.243753,41,1022
30,218,7147,0.203178,48,1020
30,218,7194,0.192769,47,1053
30,218,7234,0.234382,40,1007
30,218,7277,0.241175,43,1011
30,218,7321,0.186679,44,1010
30,218,7366,0.286481,45,1020
30,218,7409,0.229277,43,1024
30,218,7459,0.217792,50,1020
30,218,7499,0.207471,40,1054
30,218,7536,0.198789,37,1052
30,218,7580,0.16869,44,1021
30,218,7632,0.270293,52,1055
30,218,7673,0.120956,41,1060
30,218,7715,0.143281,42,1039
30,218,7752,0.167755,37,1003
30,218,7796,0.218009,44,1006
30,218,7835,0.164178,39,1010
30,218,7887,0.184402,52,1027
30,218,7929,0.206137,42,1002
30,218,7972,0.2015,43,1005
30,218,8013,0.229593,41,1021
30,218,8057,0.151848,44,1010
30,218,8100,0.228211,43,1023
30,218,8147,0.199104,47,1014
30,218,8190,0.193698,43,1050
30,218,8229,0.226119,39,1037
30,218,8272,0.177769,43,1058
30,218,8311,0.202488,39,1060
30,218,8348,0.196316,37,1030
30,218,8390,0.23843,42,1025
30,218,8439,0.167814,49,1027
30,218,8487,0.242509,48,1033
30,218,8530,0.18945,43,1054
30,218,8566,0.146641,36,1040
30,218,8611,0.257604,45,1020
30,218,8655,0.204669,44,1022
30,218,8696,0.189985,41,1028
30,218,8740,0.217232,44,1006
30,218,8782,0.178184,42,1006
30,218,8819,0.239335,37,1046
30,218,8860,0.269811,41,1024
30,218,8909,0.211413,49,1052
30,218,8950,0.188194,41,1058
30,218,8986,0.236787,36,1014
30,218,9023,0.191401,37,1044
30,218,9068,0.253654,45,1028
30,218,9116,0.211273,48,1009
30,218,9162,0.209917,46,1025
30,218,9204,0.182836,42,1046
30,218,9244,0.223217,40,1001
30,218,9282,0.146224,38,1003
30,218,9325,0.22603,43,1010
30,218,9371,0.247573,46,1036
30,218,9415,0.225245,44,1027
30,218,9455,0.170178,40,1034
30,218,9501,0.298828,46,1035
30,218,9552,0.297691,51,1004
30,218,9595,0.125533,43,1030
30,218,9638,0.186983,43,1058
30,218,9676,0.257857,38,1052
30,218,9725,0.241502,49,1048
30,218,9770,0.174726,45,1030
30,218,9807,0.192558,37,1053
30,218,9852,0.246607,45,1033
30,218,9897,0.144186,45,1051
30,218,9935,0.219934,38,1038
