Tasks,A at 600 s (%),B at 600 s (%),B at 1800 s (%),Gain from 600 to 1800 s (pp),Remaining gap to A at 600 s (pp)
20,100.0,100.0,100.0,0.0,0.0
30,100.0,93.33333333333333,100.0,6.666666666666671,0.0
40,100.0,66.66666666666666,90.0,23.333333333333343,10.0
50,100.0,23.333333333333332,70.0,46.66666666666667,30.0
60,100.0,3.3333333333333335,30.0,26.666666666666668,70.0
