Tasks,Variables B/A,Constraints B/A,Nonzeros B/A
20,4.867209806982145,3.964785744590581,5.035876177979244
30,5.314753059659186,4.716333715061289,5.385580097118313
40,6.79976675972718,5.725829272127024,6.976765654211039
50,7.085662570492772,5.64366589602229,7.261247049288051
60,7.4411909983601054,5.748287750653206,7.548575405342837
