Tasks,A 4x4 at 600 s (%),B 6x7 at 600 s (%),B minus A at 600 s (pp),B 6x7 at 1800 s (%)
20,100.0,100.0,0.0,100.0
30,100.0,93.33333333333333,-6.666666666666671,100.0
40,100.0,66.66666666666666,-33.33333333333334,90.0
50,100.0,23.333333333333332,-76.66666666666667,70.0
60,100.0,3.3333333333333335,-96.66666666666667,30.0
