Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Solver Message
6helos_7areas_T30_S9,30,Exact-HiGHS,0.5683684973954455,8.809611834582896e-14,21.0,0.7,21.0,0.7,19.0,0.6333333333333333,33.95238095238095,86.0,110.0,284.79428771013716,453.57455719060965,0.4315064965305108,0.6872341775615298,158.79428771013713,146.7802694804725,305.57455719060965,22.0,327.57455719060965,0.9574271077563381,0.15079365079365084,19.380367303834007,0.14166673028594992,52.0172860622406,True,0.0,160452.0,55557.0,425835.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S10,30,Greedy,0.4844500920111751,0.1546324209845052,22.0,0.7333333333333333,22.0,0.7333333333333333,19.0,0.6333333333333333,40.63636363636363,74.0,90.0,309.7420691668739,478.31936917798487,0.5735964243830998,0.8857766095888608,177.74206916687388,144.57730001111102,322.31936917798487,24.0,346.31936917798487,0.7453559924999298,0.10606060606060612,4.392875575172155,0.027815916336529984,0.0006499290466308594,False,,,,,
6helos_7areas_T30_S10,30,Exact-HiGHS,0.5730644326049977,0.0,23.0,0.7666666666666667,23.0,0.7666666666666667,21.0,0.7,35.869565217391305,80.0,96.0,274.38871285875575,429.4214005625921,0.47636929315756205,0.7455232648656113,136.38871285875578,133.0326877038364,269.42140056259217,22.0,291.42140056259217,0.6871842709362768,0.09420289855072461,14.21939244185092,0.10948748022986828,33.19986605644226,True,0.0,156609.0,54655.0,415208.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S11,30,Greedy,0.5013648051118935,0.10946420615192043,22.0,0.7333333333333333,22.0,0.7333333333333333,20.0,0.6666666666666666,38.86363636363637,82.0,103.0,323.5870889751935,538.3662650164375,0.5236037038433552,0.8711428236511934,191.58708897519355,188.77917604124403,380.3662650164376,26.0,406.3662650164376,0.7453559924999298,0.10606060606060612,9.301097724285471,0.05826177893443477,0.0006237030029296875,False,,,,,
6helos_7areas_T30_S11,30,Exact-HiGHS,0.5629923115672357,-1.9720038832050153e-16,23.0,0.7666666666666667,23.0,0.7666666666666667,23.0,0.7666666666666667,37.130434782608695,77.0,98.0,300.84954356690673,483.77658938650234,0.5116488836171883,0.8227493016777251,162.84954356690676,156.92704581959563,319.7765893865024,26.0,345.7765893865024,0.6871842709362768,0.09420289855072461,10.465939039407784,0.07021324090406515,6.727909088134766,True,0.0,67701.0,29519.0,173620.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S12,30,Greedy,0.5019014763412376,0.19303118351491927,24.0,0.8,24.0,0.8,19.0,0.6333333333333333,40.583333333333336,93.0,117.0,334.4782575886712,501.6431605027549,0.47646475439981656,0.7145913967275711,190.47825758867123,145.16490291408368,335.6431605027549,22.0,357.6431605027549,0.816496580927726,0.11111111111111116,16.84507927669686,0.10877428134767249,0.0006108283996582031,False,,,,,
6helos_7areas_T30_S12,30,Exact-HiGHS,0.6219589482123649,-1.7850422890709445e-16,24.0,0.8,24.0,0.8,23.0,0.7666666666666667,35.833333333333336,88.0,111.0,290.15826306657294,452.68846446912085,0.43567306766752695,0.6797124091127941,146.15826306657294,140.53020140254787,286.68846446912085,22.0,308.68846446912085,0.816496580927726,0.11111111111111116,14.422565238648636,0.0840886224726205,81.21577191352844,True,0.0,299035.0,95618.0,801523.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S13,30,Greedy,0.4996873255676695,0.2317852043248118,23.0,0.7666666666666667,23.0,0.7666666666666667,18.0,0.6,39.391304347826086,88.0,112.0,322.22293742165346,520.9133840052675,0.4794984187822224,0.7751687261983148,184.22293742165343,172.69044658361412,356.9133840052675,26.0,382.9133840052675,0.3726779962499649,0.03623188405797103,14.373470456193232,0.09129403246672751,0.0006568431854248047,False,,,,,
6helos_7areas_T30_S13,30,Exact-HiGHS,0.6504526186956494,1.706846882792913e-16,24.0,0.8,24.0,0.8,23.0,0.7666666666666667,33.25,93.0,116.0,298.7727493562906,458.2127896872486,0.4292711916038658,0.6583517093207595,154.7727493562906,137.44004033095797,292.2127896872486,22.0,314.2127896872486,0.816496580927726,0.11111111111111116,19.940172172654457,0.13918801330603836,171.02738571166992,True,0.0,303456.0,92329.0,818075.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S14,30,Greedy,0.4180248417106326,0.24454394557258613,19.0,0.6333333333333333,19.0,0.6333333333333333,14.0,0.4666666666666667,42.8421052631579,85.0,102.0,324.011926005369,530.5196122296577,0.5294312516427598,0.8668621114863688,210.01192600536896,184.5076862242887,394.5196122296577,22.0,416.5196122296577,0.8975274678557507,0.1491228070175438,13.007466248942938,0.07376444523104449,0.0005629062652587891,False,,,,,
