Tasks,Method,Runs,Incumbents,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_Completed_Tasks,Mean_Response_Time,Mean_End_to_End_sec,Incumbent Rate
20,Greedy-Benefit,30,30,0.5339330507400818,0.046503663126415594,0.5339330507400818,14.7,39.65818717230482,0.0012154555013694334,1.0
20,Greedy-Density-Operational,30,30,0.5301440123938629,0.05585528435349182,0.5301440123938629,14.9,36.87178113553114,0.00102451109996764,1.0
20,HiGHS-1800s,30,30,0.6034507010483591,0.053509908891282605,0.6034507010483591,15.366666666666667,37.032339743589745,4.6058528582327805,1.0
30,Greedy-Benefit,30,30,0.4203814508156731,0.04354123173801914,0.4203814508156731,17.3,42.99963710524082,0.0016185207995780123,1.0
30,Greedy-Density-Operational,30,30,0.4126216970648969,0.04364162384294558,0.4126216970648969,18.0,39.02311735220404,0.0014218930644953312,1.0
30,HiGHS-1800s,30,30,0.47936692916589324,0.04079552327970568,0.47936692916589324,18.6,40.166757509489706,9.261920515167246,1.0
40,Greedy-Benefit,30,30,0.34625773521583453,0.03846202294906857,0.34625773521583453,18.566666666666666,44.15746352158184,0.002062840199262913,1.0
40,Greedy-Density-Operational,30,30,0.33934302682078477,0.037899369219850015,0.33934302682078477,20.1,40.89910210539848,0.00197461106654373,1.0
40,HiGHS-1800s,30,30,0.40080736482650187,0.039666186766788264,0.40080736482650187,20.366666666666667,41.3099733731343,25.11810479876464,1.0
50,Greedy-Benefit,30,30,0.2955583181155202,0.034494934158215654,0.2955583181155202,20.3,45.99198392011961,0.0025348597332291926,1.0
50,Greedy-Density-Operational,30,30,0.2910982471391028,0.03642579290418079,0.2910982471391028,21.9,42.69965450241766,0.0022337653002371858,1.0
50,HiGHS-1800s,30,30,0.34959393658051213,0.035530656241626546,0.34959393658051213,22.5,42.61292574609798,48.292611461132765,1.0
60,Greedy-Benefit,30,30,0.26362736645579726,0.029291375115584203,0.26362736645579726,21.466666666666665,46.68404480316501,0.003828291532408912,1.0
60,Greedy-Density-Operational,30,30,0.2586293812991759,0.026520460909613918,0.2586293812991759,23.6,43.8133963948022,0.0031471139334219816,1.0
60,HiGHS-1800s,30,30,0.3127819583985075,0.02901480905396306,0.3127819583985075,24.266666666666666,43.29915179789393,95.13617150276623,1.0
