Tasks,Budget sec,Runs,Incumbents,Certified,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_MIP_Gap,Mean_Solver_sec,Mean_End_to_End_sec,Incumbent Rate,Certification Rate
20,1.0,30,3,3,0.5448835050770442,0.017022284732322354,0.05448835050770442,0.0,1.7312422179345353,1.8467280846341358,0.1,0.1
20,5.0,30,24,23,0.5758748377141082,0.11415485221667065,0.4606998701712866,6.728428792857598,3.6335672986669425,3.749053165366543,0.8,0.7666666666666667
20,15.0,30,30,29,0.5805527842309394,0.12098578778619427,0.5805527842309394,0.0,4.276818337434573,4.392304204134174,1.0,0.9666666666666667
20,60.0,30,30,30,0.6034507010483591,0.053509908891282605,0.6034507010483591,0.0,4.505702037500062,4.621187904199663,1.0,1.0
20,600.0,30,30,30,0.6034507010483591,0.053509908891282605,0.6034507010483591,0.0,4.4922522556330176,4.607738122332618,1.0,1.0
20,1800.0,30,30,30,0.6034507010483591,0.053509908891282605,0.6034507010483591,0.0,4.49036699153318,4.6058528582327805,1.0,1.0
30,1.0,30,0,0,,,0.0,,1.402759855600986,1.6496683111683523,0.0,0.0
30,5.0,30,18,10,0.35599370395423835,0.15583749726650004,0.213596222372543,6.974105706692186,5.138030108300397,5.384938563867763,0.6,0.3333333333333333
30,15.0,30,27,26,0.4760772801354294,0.04039565676296025,0.4284695521218865,0.00020528512086896022,7.276138136133038,7.523046591700404,0.9,0.8666666666666667
30,60.0,30,30,30,0.47936692916589324,0.04079552327970568,0.47936692916589324,0.0,9.040575661032927,9.287484116600293,1.0,1.0
30,600.0,30,30,30,0.47936692916589324,0.04079552327970568,0.47936692916589324,0.0,9.10975524306632,9.356663698633687,1.0,1.0
30,1800.0,30,30,30,0.47936692916589324,0.04079552327970568,0.47936692916589324,0.0,9.01501205959988,9.261920515167246,1.0,1.0
40,1.0,30,0,0,,,0.0,,1.3125758554999871,1.8045147722312929,0.0,0.0
40,5.0,30,2,2,0.35190303787807364,0.0012933866421270845,0.02346020252520491,0.0,5.675120190266898,6.167059106998204,0.06666666666666667,0.06666666666666667
40,15.0,30,21,13,0.3367415873144614,0.13543494855832588,0.23571911112012298,6.1094338232111935,12.881285750133248,13.373224666864553,0.7,0.43333333333333335
40,60.0,30,29,28,0.39769632074646427,0.04008742374995494,0.3844397767215821,0.004380332182152786,20.621705661099988,21.11364457783129,0.9666666666666667,0.9333333333333333
40,600.0,30,30,30,0.40080736482650187,0.039666186766788264,0.40080736482650187,0.0,24.53891087069957,25.030849787430878,1.0,1.0
40,1800.0,30,30,30,0.40080736482650187,0.039666186766788264,0.40080736482650187,0.0,24.626165882033334,25.11810479876464,1.0,1.0
50,1.0,30,0,0,,,0.0,,1.2663710680334286,2.08025286113334,0.0,0.0
50,5.0,30,0,0,,,0.0,,5.910651216666883,6.7245330097667955,0.0,0.0
50,15.0,30,10,5,0.26962912404483896,0.1351651069661775,0.08987637468161298,12.219749288326732,16.35430542510027,17.16818721820018,0.3333333333333333,0.16666666666666666
50,60.0,30,29,23,0.2934398568810063,0.12473577205140562,0.2836585283183061,110.96620301231354,36.03586337213298,36.84974516523289,0.9666666666666667,0.7666666666666667
50,600.0,30,30,30,0.34959393658051213,0.035530656241626546,0.34959393658051213,0.0,47.50247637643382,48.31635816953373,1.0,1.0
50,1800.0,30,30,30,0.34959393658051213,0.035530656241626546,0.34959393658051213,0.0,47.478729668032855,48.292611461132765,1.0,1.0
60,1.0,30,0,0,,,0.0,,1.3424939957345488,2.597289265134168,0.0,0.0
60,5.0,30,0,0,,,0.0,,5.839345183334323,7.094140452733942,0.0,0.0
60,15.0,30,4,1,0.12216996704606659,0.12721245798965422,0.016289328939475545,410.7427387689954,17.135922045834015,18.390717315233633,0.13333333333333333,0.03333333333333333
60,60.0,30,21,18,0.26622465479396357,0.10622151126961388,0.18635725835577452,33.28901389377168,49.809802313900825,51.06459758330045,0.7,0.6
60,600.0,30,30,30,0.3127819583985075,0.02901480905396306,0.3127819583985075,0.0,94.0000306069332,95.25482587633282,1.0,1.0
60,1800.0,30,30,30,0.3127819583985075,0.02901480905396306,0.3127819583985075,0.0,93.88137623336661,95.13617150276623,1.0,1.0
